time_s,pc_time_s,seq_id,module_id,tx_drops,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MotorAngle_L,MotorAngle_R,MotorTorque_L,MotorTorque_R
0.000000,0.021093,57201,16,0,0.009577,9.777920,-0.076614,-1.251221,-0.152588,-0.244141,-25.400391,13.227539,-0.005493,0.010986
0.001000,0.021189,57202,16,0,0.117316,9.864111,0.114922,-1.220703,-0.152588,-0.366211,-25.400391,13.227539,-0.020142,-0.009155
0.002000,0.021218,57203,16,0,0.002394,9.816227,0.055067,-1.251221,-0.030518,-0.305176,-25.400391,13.227539,0.020142,0.016479
0.003000,0.021258,57204,16,0,-0.062249,9.823410,-0.079009,-1.098633,0.000000,-0.061035,-25.400391,13.227539,-0.014648,-0.014648
0.004000,0.021277,57205,16,0,0.038307,9.828198,-0.043096,-1.251221,0.061035,-0.091553,-25.400391,13.227539,-0.010986,-0.005493
0.005000,0.021328,57206,16,0,0.016759,9.734824,0.009577,-1.434326,-0.030518,-0.274658,-25.400391,13.227539,-0.027466,-0.005493
0.006000,0.021344,57207,16,0,0.026336,9.811439,-0.004788,-1.281738,-0.213623,-0.244141,-25.400391,13.227539,0.010986,0.009155
0.007000,0.021355,57208,16,0,0.040701,9.844957,0.004788,-1.312256,-0.030518,-0.274658,-25.400391,13.227539,-0.010986,-0.016479
0.008000,0.021365,57209,16,0,-0.059855,9.730036,0.050278,-1.495361,0.000000,-0.488281,-25.400391,13.227539,-0.005493,0.010986
0.009000,0.021374,57210,16,0,-0.059855,9.734824,-0.038307,-1.495361,-0.061035,-0.457764,-25.400391,13.227539,0.009155,-0.018311
0.010000,0.021392,57211,16,0,-0.040701,9.773131,-0.146046,-1.617432,-0.152588,-0.366211,-25.400391,13.227539,-0.010986,0.010986
0.011000,0.021402,57212,16,0,0.004788,9.801862,-0.016759,-1.434326,-0.122070,-0.396729,-25.400391,13.227539,-0.014648,0.010986
0.012000,0.021414,57213,16,0,0.059855,9.842564,0.114922,-1.312256,-0.061035,-0.427246,-25.400391,13.227539,-0.009155,-0.016479
0.013000,0.021424,57214,16,0,0.011971,9.842564,0.000000,-1.281738,-0.183105,-0.305176,-25.400391,13.227539,0.010986,-0.010986
0.014000,0.021433,57215,16,0,-0.028730,9.725247,-0.086191,-1.312256,-0.061035,-0.274658,-25.400391,13.227539,-0.001831,-0.007324
0.015000,0.021443,57216,16,0,0.000000,9.686940,-0.052672,-1.281738,-0.030518,-0.335693,-25.400391,13.227539,-0.001831,-0.009155
0.016000,0.021452,57217,16,0,0.069432,9.787497,-0.021548,-1.312256,0.000000,-0.335693,-25.400391,13.227539,0.007324,-0.009155
0.017000,0.021469,57218,16,0,0.059855,9.825804,-0.040701,-1.464844,-0.030518,-0.427246,-25.400391,13.227539,0.014648,0.005493
0.018000,0.021478,57219,16,0,-0.002394,9.818622,-0.055067,-1.464844,0.061035,-0.213623,-25.400391,13.227539,-0.012817,0.005493
0.019000,0.021487,57220,16,0,-0.043096,9.749189,-0.014365,-1.403809,0.000000,-0.244141,-25.400391,13.227539,-0.009155,-0.012817
0.020000,0.021497,57221,16,0,-0.031125,9.744401,-0.033519,-1.434326,-0.061035,-0.335693,-25.400391,13.227539,-0.003662,-0.010986
0.021000,0.050876,57222,16,0,0.047884,9.830592,-0.055067,-1.190186,-0.061035,-0.335693,-25.400391,13.227539,0.007324,0.012817
0.022000,0.050903,57223,16,0,0.002394,9.734824,-0.011971,-1.190186,-0.122070,-0.335693,-25.400391,13.227539,0.003662,0.007324
0.023000,0.050917,57224,16,0,-0.021548,9.749189,-0.124498,-1.312256,-0.091553,-0.152588,-25.400391,13.227539,0.005493,-0.014648
0.024000,0.050927,57225,16,0,0.021548,9.823410,-0.081403,-1.434326,-0.152588,-0.213623,-25.400391,13.227539,0.021973,0.007324
0.025000,0.050935,57226,16,0,0.040701,9.816227,0.090980,-1.251221,-0.152588,-0.213623,-25.400391,13.227539,0.014648,0.007324
0.026000,0.050942,57227,16,0,0.004788,9.811439,0.069432,-1.281738,-0.061035,-0.305176,-25.400391,13.227539,0.007324,0.018311
0.027000,0.050952,57228,16,0,-0.007183,9.758766,-0.019154,-1.342773,0.091553,-0.305176,-25.400391,13.227539,-0.007324,-0.010986
0.028000,0.050960,57229,16,0,0.028730,9.691729,0.000000,-1.373291,0.183105,-0.183105,-25.400391,13.227539,-0.025635,-0.007324
0.029000,0.050968,57230,16,0,0.045490,9.715671,0.038307,-1.312256,0.061035,-0.305176,-25.400391,13.227539,-0.012817,0.012817
0.030000,0.050977,57231,16,0,0.047884,9.797073,0.050278,-1.312256,-0.213623,-0.366211,-25.400391,13.227539,-0.001831,-0.014648
