mode,name,side,sensor_key,ref_cycle_range,target_cycle_range,ref_anchor_scale,ref_anchor_subject,scale_factor,mean_wave_rmse_raw,mean_wave_rmse_corrected,std_wave_rmse_raw,std_wave_rmse_corrected,peak_mean_abs_error_raw,peak_mean_abs_error_corrected,peak_std_abs_error_raw,peak_std_abs_error_corrected,ref_mean_peak_grf_norm,target_mean_peak_grf_norm,ref_mean_peak_fsr_norm,target_mean_peak_fsr_norm,expected_mean_peak_fsr_norm,corrected_mean_peak_fsr_norm
between_subject,S001->S002,left,fsrL2,1-10,1-10,1.0,,4.491826502107186,0.0438171234519993,0.013414507587685155,0.020621496313209527,0.033250886472585305,0.17967140075714938,0.0036494933351720327,0.07948690591031511,0.07396486670648778,11.701883697509766,11.520788860321044,0.23582089487463237,0.052500000782310964,0.23217140153946034,0.23582089487463237
between_subject,S001->S002,right,fsrR2,1-10,1-10,1.0,,1.4030642517010614,0.05717796217813838,0.06270179487062758,0.08745486699466187,0.07450316309235318,0.21424791852530228,0.02430388967093211,0.2851428158951883,0.2664195686654505,11.522222232818603,11.945751190185547,0.6611940294504166,0.47125000059604644,0.6854979191213487,0.6611940294504166
between_subject,S002->S003,left,fsrL2,1-10,1-10,1.0,,nan,0.012245344036792958,nan,0.013663750409380317,nan,0.05166630777750617,nan,0.04324813356534746,nan,11.520788860321044,11.337840270996093,0.052500000782310964,0.0,0.05166630777750617,nan
between_subject,S002->S003,right,fsrR2,1-10,1-10,1.0,,1.397068600622262,0.03545566219276417,0.022797498756811637,0.02915688962926861,0.04706669892271389,0.09016846570461506,0.04376810562521699,0.047215076769042685,0.08269435224791855,11.945751190185547,10.836270236968994,0.47125000059604644,0.3373134292662144,0.42748189497082945,0.47125000059604644
between_subject,S003->S004,left,fsrL2,1-10,1-10,1.0,,0.0,0.1356669522226306,0.0,0.07824194236313853,0.0,0.41973684802651406,0.0,0.1641786841898793,0.0,11.337840270996093,11.507044696807862,0.0,0.41973684802651406,0.0,0.0
between_subject,S003->S004,right,fsrR2,1-10,1-10,1.0,,4.069177892261755,0.11860224006492301,0.10544668353708618,0.04980527658317692,0.0480907747212709,0.2779815258664805,0.023562833128662752,0.043942644676726414,0.1145867467998351,10.836270236968994,11.593231582641602,0.3373134292662144,0.0828947365283966,0.36087626239487713,0.3373134292662144
between_subject,S004->S005,left,fsrL2,1-10,1-10,1.0,,23.50526292907565,0.136821879177085,0.12936702603163244,0.07637259900181065,0.24277098730680027,0.41005473864004155,0.008175033896417772,0.11380489189586199,1.0918342223350093,11.507044696807862,11.731162452697754,0.41973684802651406,0.01785714328289032,0.4279118819229319,0.4197368480265141
between_subject,S004->S005,right,fsrR2,1-10,1-10,1.0,,0.1285901742819291,0.0974445391626686,0.00910834308343751,0.09924227795507605,0.00811839343244087,0.5543465466010815,0.00740156762716708,0.23775046166244165,0.01845664564981793,11.593231582641602,12.628376770019532,0.0828947365283966,0.6446428507566452,0.0902963041555637,0.08289473652839661
between_subject,S005->S006,left,fsrL2,1-10,1-10,1.0,,0.06307339668038767,0.08804057421461295,0.005735116588605917,0.03357988215813249,0.010140426227173802,0.2657779084430559,0.0005181716667039468,0.002461632680511243,0.048891294878765305,11.731162452697754,11.390752124786378,0.01785714328289032,0.28311688005924224,0.017338971616186374,0.01785714328289032
between_subject,S005->S006,right,fsrR2,1-10,1-10,1.0,,1.6012096756418563,0.08296363527821361,0.13249959239967854,0.08797212660679155,0.09573933208684104,0.19683205450272778,0.04521339719795958,0.19525492296632008,0.1482774649660798,12.628376770019532,11.742658710479736,0.6446428507566452,0.4025973990559578,0.5994294535586856,0.6446428507566452
between_subject,S006->S007,left,fsrL2,1-10,1-10,1.0,,nan,0.09310037974256448,nan,0.037732134473172405,nan,0.2961693837571153,nan,0.051839923421555065,nan,11.390752124786378,11.915898609161378,0.28311688005924224,0.0,0.2961693837571153,nan
between_subject,S006->S007,right,fsrR2,1-10,1-10,1.0,,2.182016456246744,0.07924552014208676,0.05924842229042847,0.036311457044263376,0.03068786187878604,0.20847018922471364,0.00962016915178937,0.0024247475711122873,0.08486284872125287,11.742658710479736,11.462064838409423,0.4025973990559578,0.1845070406794548,0.39297722990416845,0.4025973990559578
between_subject,S007->S008,left,fsrL2,1-10,1-10,1.0,,0.0,0.3505842302714765,0.0,0.11785897922883785,0.0,0.9986842095851898,0.0,0.15827258041211073,0.0,11.915898609161378,11.36085786819458,0.0,0.9986842095851898,0.0,0.0
between_subject,S007->S008,right,fsrR2,1-10,1-10,1.0,,0.5564498073295935,0.06306425856055617,0.028364929801561856,0.03146120770793868,0.012376550678742408,0.15341257668085545,0.006340671246723856,0.036200355348306915,0.011485254372205322,11.462064838409423,11.068165588378907,0.1845070406794548,0.3315789461135864,0.17816636943273095,0.1845070406794548
