experiment_dir,test_mae,test_rmse,test_r2,host_latency_ms,host_max_freq_hz,model_size_mb,n_params
archive_season2/archive_8/exp_S2A8F_feat_trunk_consistency_teacher_Test-m2_S008_seed42,1.94540274143219,2.495392322540283,,1.93,518.14,0.8585,225042
archive_season2/archive_6/exp_S2A6F_ctrl_teacher_kinpower_Test-m2_S008_seed42,1.952374815940857,2.470097303390503,,1.8637,536.57,0.8548,224072
archive_season2/archive_7/exp_S2A7_feat_worksplit_teacher_Test-m2_S008_seed42,1.966028094291687,2.488140821456909,,2.3039,434.04,0.8592,225236
archive_season2/archive_7/exp_S2A7_feat_impedance_teacher_Test-m2_S008_seed42,1.9698926210403442,2.520482063293457,,1.9065,524.51,0.8607,225624
archive_season2/archive_6/exp_S2A6F_ctrl_teacher_kinpower_Test-m2_S001_seed42,1.9811408519744873,2.529062271118164,,2.3603,423.68,0.8548,224072
archive_season2/archive_1/exp_S2A1_bodyframe_biomech_fusion_Test-m2_S001_seed42,1.9861568212509155,2.5760257244110107,,1.7513,570.99,0.8555,224266
archive_season2/archive_6/exp_S2A6_ctrl_teacher_kinpower_Test-m2_S008_seed42,1.9979914426803589,2.5474741458892822,,2.5249,396.06,0.8548,224072
archive_season2/archive_8/exp_S2A8_feat_short_worksplit_teacher_Test-m2_S008_seed42,2.0042688846588135,2.579474925994873,,2.1828,458.13,0.8607,225624
archive_season2/archive_6/exp_S2A6R_ctrl_teacher_kinpower_seed07_Test-m2_S008_seed42,2.009777069091797,2.555072069168091,,2.3297,429.24,0.8548,224072
archive_season1/archive_5/exp_A5_res_noise_001_Test-m2_S008_seed42,2.012575387954712,2.5628442764282227,,1.7896,558.79,0.8503,222908
archive_season2/archive_8/exp_S2A8_feat_trunk_consistency_teacher_Test-m2_S008_seed42,2.0136265754699707,2.5546369552612305,,1.7621,567.51,0.8585,225042
archive_season2/archive_8/exp_S2A8F_feat_lag_teacher_Test-m2_S008_seed42,2.0210957527160645,2.570138931274414,,2.0839,479.87,0.8592,225236
archive_season2/archive_7/exp_S2A7_feat_trunk_consistency_teacher_Test-m2_S008_seed42,2.021883249282837,2.5775976181030273,,2.1424,466.77,0.8585,225042
archive_season2/archive_5/exp_S2A5_ctrl_quat_res_kin_power_Test-m2_S008_seed42,2.022859811782837,2.5762581825256348,,2.3553,424.57,0.8548,224072
archive_season2/archive_2/exp_S2A2_feat_quat_mech_kin_Test-m2_S008_seed42,2.0296621322631836,2.579867362976074,,2.1402,467.24,0.8548,224072
archive_season2/archive_8/exp_S2A8_feat_norm_load_coupling_teacher_Test-m2_S008_seed42,2.0309977531433105,2.5977354049682617,,2.0649,484.27,0.8592,225236
archive_season2/archive_8/exp_S2A8_feat_normload_worksplit_teacher_Test-m2_S008_seed42,2.0311245918273926,2.5702357292175293,,1.8949,527.73,0.8607,225624
archive_season2/archive_3/exp_S2A3_ref_euler_quat_Test-m2_S008_seed42,2.0335710048675537,2.6182096004486084,,9.115,109.71,0.8503,222908
archive_season2/archive_8/exp_S2A8_feat_norm_worksplit_teacher_Test-m2_S008_seed42,2.0352091789245605,2.6308226585388184,,2.4066,415.52,0.8592,225236
archive_season2/archive_6/exp_S2A6R_ctrl_teacher_kinpower_seed07_Test-m2_S002_seed42,2.041043996810913,2.5970382690429688,,2.6805,373.07,0.8548,224072
archive_season2/archive_4/exp_S2A4_feat_quat_kinematics_Test-m2_S008_seed42,2.0425097942352295,2.594475507736206,,2.4764,403.81,0.8533,223684
archive_season2/archive_8/exp_S2A8F_feat_normload_worksplit_teacher_Test-m2_S008_seed42,2.043182611465454,2.5967071056365967,,1.8988,526.64,0.8607,225624
archive_season2/archive_4/exp_S2A4_ctrl_quat_res_noise001_Test-m2_S008_seed42,2.050307035446167,2.62101149559021,,2.4219,412.9,0.8503,222908
archive_season2/archive_7/exp_S2A7_feat_hysteresis_teacher_Test-m2_S008_seed42,2.058628797531128,2.6198270320892334,,1.7512,571.02,0.8562,224460
archive_season2/archive_4/exp_S2A4_feat_quat_mech_power_Test-m2_S008_seed42,2.059643507003784,2.631854772567749,,1.8473,541.32,0.8518,223296
archive_season2/archive_6/exp_S2A6R_ctrl_teacher_kinpower_seed99_Test-m2_S002_seed42,2.0609447956085205,2.656196355819702,,2.5382,393.97,0.8548,224072
archive_season2/archive_4/exp_S2A4_ctrl_quat_res_kin_power_Test-m2_S008_seed42,2.0624494552612305,2.6387827396392822,,2.8488,351.02,0.8548,224072
archive_season2/archive_4/exp_S2A4_feat_quat_mech_kin_asym_Test-m2_S008_seed42,2.0629842281341553,2.6120760440826416,,2.2536,443.74,0.857,224654
archive_season2/archive_5/exp_S2A5_feat_quat_load_coupling_Test-m2_S008_seed42,2.063692092895508,2.661703109741211,,2.5331,394.78,0.8548,224072
archive_season2/archive_6/exp_S2A6R_ctrl_teacher_kinpower_seed99_Test-m2_S008_seed42,2.0682616233825684,2.649256944656372,,1.8313,546.05,0.8548,224072
archive_season2/archive_8/exp_S2A8F_feat_norm_worksplit_teacher_Test-m2_S002_seed42,2.0724844932556152,2.6984262466430664,,2.1175,472.25,0.8592,225236
archive_season2/archive_8/exp_S2A8_feat_lag_teacher_Test-m2_S008_seed42,2.073209762573242,2.6129775047302246,,2.0151,496.25,0.8592,225236
archive_season2/archive_5/exp_S2A5_feat_kinpower_load_coupling_Test-m2_S008_seed42,2.080502510070801,2.6589019298553467,,2.2423,445.97,0.8592,225236
archive_season1/archive_5/exp_A5_res_dropout_01_Test-m2_S008_seed42,2.084939479827881,2.651501417160034,,1.7866,559.74,0.8503,222908
archive_season2/archive_7/exp_S2A7F_feat_worksplit_teacher_Test-m2_S008_seed42,2.0929245948791504,2.648813009262085,,1.9897,502.6,0.8592,225236
archive_season2/archive_7/exp_S2A7_ctrl_teacher_kinpower_Test-m2_S008_seed42,2.0937764644622803,2.6438939571380615,,2.0013,499.67,0.8548,224072
archive_season2/archive_7/exp_S2A7_feat_phase_teacher_Test-m2_S008_seed42,2.0968949794769287,2.6770973205566406,,2.3364,428.01,0.8622,226012
archive_season2/archive_7/exp_S2A7_feat_lag_teacher_Test-m2_S008_seed42,2.09718656539917,2.65883469581604,,2.554,391.55,0.8622,226012
archive_season2/archive_2/exp_S2A2_ctrl_quat_residual_Test-m2_S008_seed42,2.0984935760498047,2.6566450595855713,,2.0843,479.77,0.8503,222908
archive_season2/archive_8/exp_S2A8F_feat_norm_worksplit_teacher_Test-m2_S008_seed42,2.100118637084961,2.6516177654266357,,2.3021,434.38,0.8592,225236
archive_season2/archive_7/exp_S2A7_ctrl_tiny_kinpower_w100_Test-m2_S008_seed42,2.100579261779785,2.6576271057128906,,1.9815,504.66,0.0867,22720
archive_season2/archive_4/exp_S2A4_feat_quat_all_biomech_Test-m2_S008_seed42,2.102865219116211,2.618326425552368,,2.4412,409.63,0.8599,225430
archive_season2/archive_8/exp_S2A8F_feat_short_worksplit_teacher_Test-m2_S002_seed42,2.1028878688812256,2.7420156002044678,,2.5613,390.43,0.8607,225624
archive_season2/archive_8/exp_S2A8F_feat_short_worksplit_teacher_Test-m2_S008_seed42,2.1116104125976562,2.653226852416992,,2.3141,432.13,0.8607,225624
archive_season2/archive_4/exp_S2A4_feat_quat_asymmetry_Test-m2_S008_seed42,2.1147043704986572,2.6785213947296143,,2.469,405.02,0.8525,223490
archive_season2/archive_8/exp_S2A8F_feat_norm_load_coupling_teacher_Test-m2_S008_seed42,2.116865634918213,2.681506872177124,,2.4264,412.14,0.8592,225236
archive_season2/archive_7/exp_S2A7F_feat_load_coupling_teacher_Test-m2_S001_seed42,2.119927406311035,2.6797807216644287,,2.1877,457.1,0.8548,224072
archive_season2/archive_6/exp_S2A6_tiny_loadgate_kinpower_w100_smooth_Test-m2_S008_seed42,2.134488821029663,2.7013022899627686,,2.7353,365.59,0.09,23597
archive_season2/archive_7/exp_S2A7F_feat_load_coupling_teacher_Test-m2_S002_seed42,2.137148857116699,2.7169971466064453,,2.2876,437.14,0.8548,224072
archive_season2/archive_7/exp_S2A7F_feat_impedance_teacher_Test-m2_S001_seed42,2.1381969451904297,2.636018991470337,,2.2675,441.02,0.8607,225624
archive_season2/archive_8/exp_S2A8F_feat_normload_worksplit_teacher_Test-m2_S002_seed42,2.138824224472046,2.82482647895813,,2.3881,418.74,0.8607,225624
archive_season2/archive_7/exp_S2A7F_feat_load_coupling_teacher_Test-m2_S008_seed42,2.13985276222229,2.7282285690307617,,2.2909,436.52,0.8548,224072
archive_season2/archive_7/exp_S2A7_feat_best_physics_teacher_Test-m2_S008_seed42,2.1417088508605957,2.699474573135376,,2.4961,400.63,0.8747,229310
