archive	config	exp_name	test_mae	test_rmse	n_params	input_dim	n_conditions	window	stride	residual_target	kernel_size	exp_dir
archive_1	baseline.yaml	baseline	3.523315906524658	4.459018230438232	221744	7	7	200	5	None	5	/home/chanyoungko/IIT/Misalign_compensation/experiments/archive_1/baseline_Test-m2_S008_seed42
archive_1	exp_attention_v2.yaml	exp_attention_v2	4.1513214111328125	5.249180316925049	221873	7	7	200	5	None	5	/home/chanyoungko/IIT/Misalign_compensation/experiments/archive_1/exp_attention_v2_Test-m2_S008_seed42
archive_1	exp_deeper_tcn.yaml	exp_deeper_tcn	3.489964723587036	4.429629325866699	1371568	7	7	200	5	None	5	/home/chanyoungko/IIT/Misalign_compensation/experiments/archive_1/exp_deeper_tcn_Test-m2_S008_seed42
archive_1	exp_euler_accel_fusion.yaml	exp_euler_accel_fusion	3.2618775367736816	4.070074558258057	222326	10	7	200	5	None	5	/home/chanyoungko/IIT/Misalign_compensation/experiments/archive_1/exp_euler_accel_fusion_Test-m2_S008_seed42
archive_1	exp_euler_gyro_fusion.yaml	exp_euler_gyro_fusion	3.1833810806274414	3.9756994247436523	222326	10	7	200	5	None	5	/home/chanyoungko/IIT/Misalign_compensation/experiments/archive_1/exp_euler_gyro_fusion_Test-m2_S008_seed42
archive_1	exp_full_features.yaml	exp_full_features	2.937004566192627	3.6738979816436768	223296	15	7	200	5	None	5	/home/chanyoungko/IIT/Misalign_compensation/experiments/archive_1/exp_full_features_Test-m2_S008_seed42
archive_1	exp_full_imu_euler.yaml	exp_full_imu_euler	3.0051066875457764	3.839994192123413	222908	13	7	200	5	None	5	/home/chanyoungko/IIT/Misalign_compensation/experiments/archive_1/exp_full_imu_euler_Test-m2_S008_seed42
archive_1	exp_gait_phase.yaml	exp_gait_phase	3.5065205097198486	4.453340530395508	222132	9	7	200	5	None	5	/home/chanyoungko/IIT/Misalign_compensation/experiments/archive_1/exp_gait_phase_Test-m2_S008_seed42
archive_1	exp_gated_tcn.yaml	exp_gated_tcn	3.1180810928344727	3.8695003986358643	221991	7	7	200	5	None	5	/home/chanyoungko/IIT/Misalign_compensation/experiments/archive_1/exp_gated_tcn_Test-m2_S008_seed42
archive_1	exp_high_dropout.yaml	exp_high_dropout	3.925621271133423	4.874000072479248	221744	7	7	200	5	None	5	/home/chanyoungko/IIT/Misalign_compensation/experiments/archive_1/exp_high_dropout_Test-m2_S008_seed42
archive_1	exp_high_wd.yaml	exp_high_wd	3.603055000305176	4.540478706359863	221744	7	7	200	5	None	5	/home/chanyoungko/IIT/Misalign_compensation/experiments/archive_1/exp_high_wd_Test-m2_S008_seed42
archive_1	exp_hip_velocity.yaml	exp_hip_velocity	3.0980172157287598	3.909792184829712	222132	9	7	200	5	None	5	/home/chanyoungko/IIT/Misalign_compensation/experiments/archive_1/exp_hip_velocity_Test-m2_S008_seed42
archive_1	exp_large_kernel.yaml	exp_large_kernel	3.393268585205078	4.29465389251709	382384	7	7	200	5	None	9	/home/chanyoungko/IIT/Misalign_compensation/experiments/archive_1/exp_large_kernel_Test-m2_S008_seed42
archive_1	exp_low_dropout.yaml	exp_low_dropout	3.133206844329834	4.003277778625488	221744	7	7	200	5	None	5	/home/chanyoungko/IIT/Misalign_compensation/experiments/archive_1/exp_low_dropout_Test-m2_S008_seed42
