experiment,fold,test_mae,test_rmse,test_huber,n_params,model_size_mb,host_latency_ms,host_max_freq_hz,metric_source
exp_S2A8F_ctrl_teacher_kinpower,m2_S001,2.3068935871124268,2.8899192810058594,2.1530608529136295,224072,0.8548,2.3909,418.26,metrics_json_fallback
exp_S2A8F_ctrl_teacher_kinpower,m2_S002,2.5610339641571045,3.2337396144866943,2.3633549131082567,224072,0.8548,1.867,535.63,metrics_json_fallback
exp_S2A8F_ctrl_teacher_kinpower,m2_S003,3.691718339920044,6.892798900604248,2.6296989645942417,224072,0.8548,2.3563,424.39,metrics_json_fallback
exp_S2A8F_ctrl_teacher_kinpower,m2_S004,3.0197620391845703,3.6729867458343506,2.971043509914276,224072,0.8548,2.3818,419.86,metrics_json_fallback
exp_S2A8F_ctrl_teacher_kinpower,m2_S005,2.6848068237304688,3.4237663745880127,2.3452572466658173,224072,0.8548,2.4883,401.89,metrics_json_fallback
exp_S2A8F_ctrl_teacher_kinpower,m2_S006,2.4605860710144043,3.0539913177490234,2.414712946448061,224072,0.8548,2.4919,401.3,metrics_json_fallback
exp_S2A8F_ctrl_teacher_kinpower,m2_S007,3.1355514526367188,3.966855049133301,2.3695401216430407,224072,0.8548,2.3958,417.39,metrics_json_fallback
exp_S2A8F_ctrl_teacher_kinpower,m2_S008,2.2542734146118164,2.837425947189331,2.542328699670657,224072,0.8548,2.3223,430.61,metrics_json_fallback
exp_S2A8F_feat_norm_worksplit_teacher,m2_S001,2.17848801612854,2.7692813873291016,2.080310580465529,225236,0.8592,2.2828,438.06,metrics_json_fallback
exp_S2A8F_feat_norm_worksplit_teacher,m2_S002,2.0724844932556152,2.6984262466430664,2.201850758402387,225236,0.8592,2.1175,472.25,metrics_json_fallback
exp_S2A8F_feat_norm_worksplit_teacher,m2_S003,4.065643310546875,7.151487350463867,2.78492887614216,225236,0.8592,2.5916,385.86,metrics_json_fallback
exp_S2A8F_feat_norm_worksplit_teacher,m2_S004,3.1142587661743164,3.735949993133545,2.912670427465184,225236,0.8592,2.2443,445.57,metrics_json_fallback
exp_S2A8F_feat_norm_worksplit_teacher,m2_S005,2.6215157508850098,3.273482084274292,2.2934395778093406,225236,0.8592,2.4524,407.77,metrics_json_fallback
exp_S2A8F_feat_norm_worksplit_teacher,m2_S006,2.4516544342041016,3.0638368129730225,2.458497287084659,225236,0.8592,1.9213,520.49,metrics_json_fallback
exp_S2A8F_feat_norm_worksplit_teacher,m2_S007,3.018503189086914,3.950681209564209,2.336958675629718,225236,0.8592,2.2456,445.31,metrics_json_fallback
exp_S2A8F_feat_norm_worksplit_teacher,m2_S008,2.100118637084961,2.6516177654266357,2.488544392264652,225236,0.8592,2.3021,434.38,metrics_json_fallback
exp_S2A8F_feat_short_worksplit_teacher,m2_S001,2.3909945487976074,2.936234951019287,2.14425140978798,225624,0.8607,2.5211,396.65,metrics_json_fallback
exp_S2A8F_feat_short_worksplit_teacher,m2_S002,2.1028878688812256,2.7420156002044678,2.3032257283590116,225624,0.8607,2.5613,390.43,metrics_json_fallback
exp_S2A8F_feat_short_worksplit_teacher,m2_S003,3.940251588821411,7.109285354614258,2.885382794790237,225624,0.8607,1.8448,542.07,metrics_json_fallback
