group,mae,rmse,r2,lag_ms,mae_delta,mae_pct_change
exp_A5_res_noise_001,1.8848009,2.399858,0.9823145,6.0,-0.48014355,-20.30253
exp_S2A2_ctrl_quat_residual,1.9848307,2.5449424,0.98011154,6.0,-0.38011372,-16.07284
exp_A5_res_dropout_01,2.0432255,2.6046872,0.97916675,6.0,-0.32171893,-13.603658
exp_S2A1_bodyframe_biomech_fusion,2.059469,2.6481433,0.97652704,-0.3571428571428572,-0.30547547,-12.916814
exp_A4_quat_dropout_015,2.0625224,2.596034,0.97930497,1.0,-0.30242205,-12.787702
exp_A5_res_mech_power,2.1061907,2.6523066,0.978398,6.0,-0.25875378,-10.94122
exp_S2A1_bodyframe_mechpower_kinematics,2.1259217,2.7244935,0.9772062,2.5,-0.23902273,-10.106907
exp_A5_res_kin_power,2.1362693,2.76432,0.9765349,1.0,-0.22867513,-9.669366
exp_S2A2_feat_quat_mech_kin,2.1385338,2.7080286,0.9774808,2.0,-0.22641063,-9.573613
exp_A4_quat_k7,2.1433675,2.7905626,0.9760873,5.5,-0.22157693,-9.369224
exp_S2A2_ctx_bodyframe_mech_kin_win300_k7,2.149472,2.700164,0.9776223,0.5,-0.21547246,-9.1111
exp_A5_res_k7,2.157762,2.760769,0.97659516,4.0,-0.2071824,-8.760561
exp_A5_mech_power,2.1588905,2.7509375,0.9767615,2.5,-0.20605397,-8.712846
exp_A4_quat_dropout_01,2.1706429,2.7157245,0.9773527,6.0,-0.1943016,-8.215906
exp_S2A2_feat_bodyframe_mech_kin,2.1788747,2.7290115,0.97713053,1.5,-0.18606973,-7.8678265
exp_A5_residual,2.1808252,2.7235167,0.9772225,5.5,-0.18411922,-7.785351
exp_A5_res_deflection,2.19005,2.6995394,0.9776218,5.0,-0.17489457,-7.3952928
exp_S2A2_model_bodyframe_mech_kin_small,2.1962142,2.7455425,0.9768526,0.5,-0.16873026,-7.1346393
exp_S2A2_ctrl_hybrid_bodyframe_quat,2.196297,2.7652187,0.97651964,5.0,-0.16864753,-7.1311417
exp_A4_quat_win300,2.2090974,2.7866576,0.97616565,2.0,-0.15584707,-6.589883
exp_S2A2_model_bodyframe_gated,2.215941,2.7501519,0.9767748,3.0,-0.1490035,-6.3005075
exp_A3_quaternion,2.2230377,2.8388014,0.9752534,2.5,-0.14190674,-6.000426
exp_S2A1_bodyframe_core_dropout005,2.2366393,2.8175414,0.97562265,3.0,-0.1283052,-5.425294
exp_S2A2_pre_bodyframe_mech_kin_lpf5,2.2433183,2.8773801,0.97457623,-1.5,-0.12162614,-5.142875
exp_S2A2_ctrl_bodyframe_core,2.2607512,2.856113,0.9749507,3.5,-0.10419321,-4.405736
exp_S2A2_ctrl_bodyframe_no_overground,2.2610052,2.8626328,0.9748362,4.0,-0.103939295,-4.3949995
exp_A4_quat_kin_motor,2.265917,2.8710842,0.97468734,0.5,-0.099027395,-4.187303
exp_S2A1_bodyframe_core,2.280058,2.875312,0.9746127,3.5,-0.08488655,-3.5893674
exp_A4_quat_motor,2.282883,2.9006536,0.9741633,3.5,-0.08206153,-3.4699135
exp_A3_kinetics,2.3065376,2.9463444,0.9733429,4.0,-0.05840683,-2.4696915
exp_A5_gated_tcn,2.3134272,2.8363802,0.97529554,4.0,-0.05151725,-2.1783705
exp_S2A1_bodyframe_gaitphase_asymmetry,2.3640625,2.9187443,0.97384,2.0,-0.0008819103,-0.037290953
exp_A3_full_combo,2.364671,2.9784584,0.9727718,1.5,-0.0002734661,-0.011563321
baseline,2.3649445,2.9537015,0.9732096,4.0,0.0,0.0
exp_A4_quat_kin_k7,2.3685727,2.9557934,0.97317165,5.5,0.003628254,0.15341814
exp_A4_quat_noise_001,2.3792372,3.0049732,0.97227144,1.5,0.014292717,0.60435736
exp_S2A1_bodyframe_core_standing_weight,2.382816,2.9921134,0.97250825,2.5,0.017871618,0.75568867
exp_S2A1_bodyframe_deflection_asymmetry,2.4046445,3.022773,0.971942,4.0,0.03970003,1.6786877
exp_S2A2_model_bodyframe_gru,2.4064982,2.9991305,0.9723792,-1.5,0.041553736,1.7570702
exp_A3_motor_angle,2.4183955,3.040693,0.97160834,0.5,0.05345106,2.2601402
exp_A3_dropout_03,2.4391594,3.1628063,0.96928215,6.0,0.074214935,3.1381261
exp_A4_quat_noise_005,2.4527385,3.0584002,0.9712767,3.5,0.087794065,3.7123098
exp_A3_dropout_01,2.4779272,3.162864,0.969281,4.0,0.11298275,4.7773952
exp_A4_quat_kinetics,2.480184,3.1324298,0.9698694,1.0,0.11523962,4.8728256
exp_A2_thigh_lowdrop,2.5798893,3.333769,0.9658715,4.0,0.21494484,9.088791
exp_A3_epochs_50,2.6089604,3.3306444,0.96593547,4.5,0.24401593,10.318041
exp_A3_win300_k7,2.6305513,3.286762,0.96684325,4.5,0.26560688,11.230998
exp_A3_lr_0005,2.6322305,3.3317385,0.96591306,4.5,0.26728606,11.302002
exp_A2_thigh_kinetics,2.7530575,3.493504,0.9625227,0.5,0.38811302,16.411083
exp_A2_win300_k7,2.7562807,3.4719293,0.9630021,4.5,0.3913362,16.547375
exp_A3_channels_wide,2.770706,3.416869,0.9641489,4.0,0.40576148,17.157337
exp_no_torque,2.8070624,3.4413655,0.963633,5.0,0.44211793,18.694643
exp_full_features,2.8194964,3.650593,0.9590765,2.5,0.45455194,19.220406
exp_A2_quaternion,2.8457575,3.576678,0.9607169,8.5,0.48081303,20.330837
exp_A2_motor_angle,2.9170003,3.6992707,0.9579779,2.0,0.55205584,23.34329
exp_A2_thigh_gyro,2.9416757,3.6889863,0.9582112,3.5,0.5767312,24.38667
exp_A2_thigh_velocity,2.9463074,3.7029655,0.9578939,3.0,0.58136296,24.58252
exp_gated_tcn,2.9494135,3.6670606,0.95870644,3.0,0.5844691,24.71386
exp_A2_quat_replace_euler,3.000617,3.669008,0.9586626,5.0,0.63567257,26.878965
exp_A2_thigh_angle,3.0312371,3.7853959,0.9559984,4.0,0.66629267,28.173712
exp_euler_gyro_fusion,3.0342686,3.910213,0.9530488,5.5,0.66932416,28.301897
exp_A2_mech_power,3.040135,3.7339592,0.9571861,4.0,0.67519045,28.549948
exp_low_dropout,3.0529625,3.9970167,0.9509411,5.5,0.6880181,29.092356
exp_A2_hip_thigh_both,3.0719311,3.8152692,0.95530117,2.0,0.70698667,29.89443
exp_A2_gyro_only,3.0841055,3.85155,0.95444703,8.0,0.71916103,30.409214
exp_full_imu_euler,3.112717,4.0267267,0.9502091,3.5,0.74777246,31.619028
exp_A2_thigh_gyro_e50,3.113711,3.8878202,0.953585,0.5,0.74876666,31.661066
exp_hip_velocity,3.1204438,4.002697,0.95080155,4.0,0.75549936,31.945757
exp_euler_accel_fusion,3.1245742,3.9993303,0.9508843,3.0,0.7596297,32.120403
exp_large_kernel,3.127896,4.0935745,0.9485422,5.0,0.7629516,32.260868
exp_A2_accel_only,3.136628,3.9231482,0.9527376,2.0,0.77168345,32.63009
