subject,axis,mean_x,mean_y,mean_z,mean_resultant_norm
S001,x,-0.020610,-0.033493,0.995661,0.996437
S001,z,-0.772403,0.628478,0.005812,0.995804
S002,x,0.002063,-0.016452,0.997102,0.997240
S002,z,-0.773254,0.626503,0.012171,0.995277
S003,x,-0.010032,-0.036134,0.997693,0.998398
S003,z,-0.726011,0.582220,0.018361,0.930811
S004,x,-0.002197,-0.013648,0.995733,0.995829
S004,z,-0.808790,0.576897,0.006468,0.993475
S005,x,0.022127,-0.029954,0.997488,0.998183
S005,z,-0.734357,0.674138,0.036814,0.997546
S006,x,0.049451,-0.065109,0.994330,0.997686
S006,z,-0.818999,0.560480,0.077768,0.995463
S007,x,0.038640,-0.021288,0.997704,0.998679
S007,z,-0.781757,0.612353,0.043804,0.994002
S008,x,-0.013151,-0.020815,0.996227,0.996531
S008,z,-0.810890,0.576905,0.001939,0.995171
