model,experiment,subject,seed,mae,rmse,huber,params,model_size_mb,host_latency_ms,host_max_freq_hz
teacher_kinpower,exp_S2A6R_ctrl_teacher_kinpower_seed07,m2_S001,7,2.3425378799438477,2.9181668758392334,2.142489130534823,224072,0.8548,2.4501,408.15
teacher_kinpower,exp_S2A6R_ctrl_teacher_kinpower_seed07,m2_S002,7,2.041043996810913,2.5970382690429688,2.228071812602038,224072,0.8548,2.6805,373.07
teacher_kinpower,exp_S2A6R_ctrl_teacher_kinpower_seed07,m2_S003,7,3.999805212020874,7.1757893562316895,2.681039281310787,224072,0.8548,2.5219,396.52
teacher_kinpower,exp_S2A6R_ctrl_teacher_kinpower_seed07,m2_S004,7,2.7081005573272705,3.316444158554077,2.9318700808892277,224072,0.8548,2.4148,414.12
teacher_kinpower,exp_S2A6R_ctrl_teacher_kinpower_seed07,m2_S005,7,2.626389265060425,3.3325271606445312,2.3351784243429305,224072,0.8548,2.4554,407.27
teacher_kinpower,exp_S2A6R_ctrl_teacher_kinpower_seed07,m2_S006,7,2.4985358715057373,3.1319966316223145,2.438001444356309,224072,0.8548,2.3457,426.31
teacher_kinpower,exp_S2A6R_ctrl_teacher_kinpower_seed07,m2_S007,7,3.052438735961914,3.956650733947754,2.3211741714573226,224072,0.8548,2.3195,431.12
teacher_kinpower,exp_S2A6R_ctrl_teacher_kinpower_seed07,m2_S008,7,2.009777069091797,2.555072069168091,2.453644209036522,224072,0.8548,2.3297,429.24
teacher_kinpower,exp_S2A6F_ctrl_teacher_kinpower,m2_S001,42,1.9811408519744873,2.529062271118164,2.0381576776504517,224072,0.8548,2.3603,423.68
teacher_kinpower,exp_S2A6F_ctrl_teacher_kinpower,m2_S002,42,2.195709466934204,2.822354316711426,2.2780799249917765,224072,0.8548,2.3515,425.27
teacher_kinpower,exp_S2A6F_ctrl_teacher_kinpower,m2_S003,42,3.7975683212280273,6.979098796844482,2.639573882379439,224072,0.8548,2.4337,410.89
teacher_kinpower,exp_S2A6F_ctrl_teacher_kinpower,m2_S004,42,2.8436310291290283,3.457224130630493,2.9374061424464464,224072,0.8548,2.5803,387.55
teacher_kinpower,exp_S2A6F_ctrl_teacher_kinpower,m2_S005,42,2.6882057189941406,3.4330053329467773,2.369571669925031,224072,0.8548,2.4401,409.82
teacher_kinpower,exp_S2A6F_ctrl_teacher_kinpower,m2_S006,42,2.515984535217285,3.134059190750122,2.422816803885831,224072,0.8548,2.5047,399.25
teacher_kinpower,exp_S2A6F_ctrl_teacher_kinpower,m2_S007,42,3.1208653450012207,4.029190540313721,2.3498356166392265,224072,0.8548,1.8315,546.0
teacher_kinpower,exp_S2A6F_ctrl_teacher_kinpower,m2_S008,42,1.952374815940857,2.470097303390503,2.4630216974200625,224072,0.8548,1.8637,536.57
teacher_kinpower,exp_S2A6R_ctrl_teacher_kinpower_seed99,m2_S001,99,2.167137622833252,2.706641435623169,2.1042358629287237,224072,0.8548,2.2951,435.71
teacher_kinpower,exp_S2A6R_ctrl_teacher_kinpower_seed99,m2_S002,99,2.0609447956085205,2.656196355819702,2.2466648265472435,224072,0.8548,2.5382,393.97
teacher_kinpower,exp_S2A6R_ctrl_teacher_kinpower_seed99,m2_S003,99,3.9489903450012207,7.102750778198242,2.8670289390250216,224072,0.8548,2.5734,388.58
teacher_kinpower,exp_S2A6R_ctrl_teacher_kinpower_seed99,m2_S004,99,2.801792860031128,3.415848731994629,2.960706947002819,224072,0.8548,2.4311,411.33
teacher_kinpower,exp_S2A6R_ctrl_teacher_kinpower_seed99,m2_S005,99,2.6033308506011963,3.349867105484009,2.3457323317047503,224072,0.8548,2.5026,399.59
teacher_kinpower,exp_S2A6R_ctrl_teacher_kinpower_seed99,m2_S006,99,2.480290412902832,3.1118783950805664,2.454567084295882,224072,0.8548,2.4113,414.71
teacher_kinpower,exp_S2A6R_ctrl_teacher_kinpower_seed99,m2_S007,99,3.0796279907226562,3.920196294784546,2.360014661498692,224072,0.8548,1.9122,522.97
teacher_kinpower,exp_S2A6R_ctrl_teacher_kinpower_seed99,m2_S008,99,2.0682616233825684,2.649256944656372,2.5020873052905306,224072,0.8548,1.8313,546.05
tiny_kinpower_w100,exp_S2A6R_tiny_kinpower_w100_seed07,m2_S001,7,2.4637181758880615,3.0753188133239746,2.163172983293292,22720,0.0867,2.1882,456.99
tiny_kinpower_w100,exp_S2A6R_tiny_kinpower_w100_seed07,m2_S002,7,2.203212022781372,2.9069387912750244,2.2921821095131256,22720,0.0867,2.227,449.03
tiny_kinpower_w100,exp_S2A6R_tiny_kinpower_w100_seed07,m2_S003,7,4.2179365158081055,7.345795631408691,2.7356702073878068,22720,0.0867,2.4282,411.82
tiny_kinpower_w100,exp_S2A6R_tiny_kinpower_w100_seed07,m2_S004,7,2.712606191635132,3.319049835205078,2.844450683669841,22720,0.0867,2.2724,440.07
tiny_kinpower_w100,exp_S2A6R_tiny_kinpower_w100_seed07,m2_S005,7,2.931504011154175,3.664738655090332,2.358859850040504,22720,0.0867,2.9301,341.28
tiny_kinpower_w100,exp_S2A6R_tiny_kinpower_w100_seed07,m2_S006,7,2.5618653297424316,3.1654651165008545,2.436603763596765,22720,0.0867,2.1858,457.49
tiny_kinpower_w100,exp_S2A6R_tiny_kinpower_w100_seed07,m2_S007,7,2.9388489723205566,3.892235517501831,2.2579477989673613,22720,0.0867,2.1668,461.52
tiny_kinpower_w100,exp_S2A6R_tiny_kinpower_w100_seed07,m2_S008,7,2.1925482749938965,2.780008316040039,2.498756805789909,22720,0.0867,2.1939,455.82
tiny_kinpower_w100,exp_S2A6F_tiny_kinpower_w100,m2_S001,42,2.1685454845428467,2.7561075687408447,2.072264261072195,22720,0.0867,2.1512,464.86
tiny_kinpower_w100,exp_S2A6F_tiny_kinpower_w100,m2_S002,42,2.2256221771240234,2.8709020614624023,2.3517070528897612,22720,0.0867,2.4688,405.05
tiny_kinpower_w100,exp_S2A6F_tiny_kinpower_w100,m2_S003,42,3.595677614212036,6.850222110748291,2.5691885246042294,22720,0.0867,2.2892,436.84
tiny_kinpower_w100,exp_S2A6F_tiny_kinpower_w100,m2_S004,42,2.660393476486206,3.2662718296051025,2.8710828908580415,22720,0.0867,2.2008,454.37
tiny_kinpower_w100,exp_S2A6F_tiny_kinpower_w100,m2_S005,42,2.838615655899048,3.612351179122925,2.334628251194954,22720,0.0867,2.3139,432.17
tiny_kinpower_w100,exp_S2A6F_tiny_kinpower_w100,m2_S006,42,2.4651143550872803,3.0784664154052734,2.366844082700795,22720,0.0867,1.9669,508.41
tiny_kinpower_w100,exp_S2A6F_tiny_kinpower_w100,m2_S007,42,2.9762256145477295,3.872758388519287,2.267461343606313,22720,0.0867,2.447,408.67
tiny_kinpower_w100,exp_S2A6F_tiny_kinpower_w100,m2_S008,42,2.1450867652893066,2.7274975776672363,2.5079213538297442,22720,0.0867,2.182,458.29
tiny_kinpower_w100,exp_S2A6R_tiny_kinpower_w100_seed99,m2_S001,99,2.2336888313293457,2.7997829914093018,2.0818208237237568,22720,0.0867,1.7476,572.21
tiny_kinpower_w100,exp_S2A6R_tiny_kinpower_w100_seed99,m2_S002,99,2.2230496406555176,2.8842155933380127,2.3236117713398987,22720,0.0867,1.6574,603.37
tiny_kinpower_w100,exp_S2A6R_tiny_kinpower_w100_seed99,m2_S003,99,4.013239860534668,7.108240127563477,2.815381830564209,22720,0.0867,1.7303,577.95
tiny_kinpower_w100,exp_S2A6R_tiny_kinpower_w100_seed99,m2_S004,99,2.9261341094970703,3.6184983253479004,2.8942569893725376,22720,0.0867,1.7324,577.25
tiny_kinpower_w100,exp_S2A6R_tiny_kinpower_w100_seed99,m2_S005,99,2.778541088104248,3.5073530673980713,2.3075065600020546,22720,0.0867,1.7479,572.11
tiny_kinpower_w100,exp_S2A6R_tiny_kinpower_w100_seed99,m2_S006,99,2.427618980407715,3.043410062789917,2.4145045329784525,22720,0.0867,1.7144,583.29
tiny_kinpower_w100,exp_S2A6R_tiny_kinpower_w100_seed99,m2_S007,99,2.894932508468628,3.8608148097991943,2.2243955731391907,22720,0.0867,1.7137,583.53
tiny_kinpower_w100,exp_S2A6R_tiny_kinpower_w100_seed99,m2_S008,99,2.1417932510375977,2.707181930541992,2.5018293235612954,22720,0.0867,1.7067,585.94
