experiment,fold,test_mae,test_rmse,test_huber,n_params,model_size_mb,host_latency_ms,host_max_freq_hz,metric_source
exp_S2A7F_feat_worksplit_teacher,m2_S001,2.5031025409698486,3.1311328411102295,2.1138545433680216,225236,0.8592,2.4879,401.94,metrics_json_fallback
exp_S2A7F_feat_worksplit_teacher,m2_S002,2.193164348602295,2.797071695327759,2.213121738223081,225236,0.8592,2.3705,421.86,metrics_json_fallback
exp_S2A7F_feat_worksplit_teacher,m2_S003,4.0709733963012695,7.27470064163208,2.7990079131887478,225236,0.8592,2.1576,463.48,metrics_json_fallback
exp_S2A7F_feat_worksplit_teacher,m2_S004,2.952166795730591,3.5603671073913574,2.91853421384638,225236,0.8592,1.8665,535.76,metrics_json_fallback
exp_S2A7F_feat_worksplit_teacher,m2_S005,2.663243293762207,3.407607316970825,2.3120753756529995,225236,0.8592,2.306,433.65,metrics_json_fallback
exp_S2A7F_feat_worksplit_teacher,m2_S006,2.5943470001220703,3.2348947525024414,2.3883055266406803,225236,0.8592,2.3176,431.49,metrics_json_fallback
exp_S2A7F_feat_worksplit_teacher,m2_S007,2.995513916015625,3.9143741130828857,2.3160312883431295,225236,0.8592,2.3984,416.95,metrics_json_fallback
exp_S2A7F_feat_worksplit_teacher,m2_S008,2.0929245948791504,2.648813009262085,2.5008060839842465,225236,0.8592,1.9897,502.6,metrics_json_fallback
exp_S2A7F_feat_load_coupling_teacher,m2_S001,2.119927406311035,2.6797807216644287,2.0873428609636093,224072,0.8548,2.1877,457.1,metrics_json_fallback
exp_S2A7F_feat_load_coupling_teacher,m2_S002,2.137148857116699,2.7169971466064453,2.2463008973809235,224072,0.8548,2.2876,437.14,metrics_json_fallback
exp_S2A7F_feat_load_coupling_teacher,m2_S003,3.878814697265625,7.026304244995117,2.590905019825367,224072,0.8548,2.3822,419.78,metrics_json_fallback
exp_S2A7F_feat_load_coupling_teacher,m2_S004,2.9181971549987793,3.6076436042785645,3.00052201237908,224072,0.8548,2.0432,489.44,metrics_json_fallback
exp_S2A7F_feat_load_coupling_teacher,m2_S005,2.745710611343384,3.4882073402404785,2.3542273747835227,224072,0.8548,2.2609,442.3,metrics_json_fallback
exp_S2A7F_feat_load_coupling_teacher,m2_S006,2.5450973510742188,3.1818478107452393,2.432714494980044,224072,0.8548,2.1441,466.39,metrics_json_fallback
exp_S2A7F_feat_load_coupling_teacher,m2_S007,3.1159918308258057,4.132841110229492,2.329608002434606,224072,0.8548,1.9271,518.92,metrics_json_fallback
exp_S2A7F_feat_load_coupling_teacher,m2_S008,2.13985276222229,2.7282285690307617,2.4385825437728803,224072,0.8548,2.2909,436.52,metrics_json_fallback
exp_S2A7F_feat_impedance_teacher,m2_S001,2.1381969451904297,2.636018991470337,2.167055664743696,225624,0.8607,2.2675,441.02,metrics_json_fallback
exp_S2A7F_feat_impedance_teacher,m2_S002,2.693021774291992,3.5346765518188477,2.0353412081523494,225624,0.8607,2.3291,429.35,metrics_json_fallback
exp_S2A7F_feat_impedance_teacher,m2_S003,4.1391072273254395,7.234326362609863,2.935995979107164,225624,0.8607,2.3642,422.97,metrics_json_fallback
exp_S2A7F_feat_impedance_teacher,m2_S004,3.1351611614227295,3.8417718410491943,2.955532445308359,225624,0.8607,2.1891,456.8,metrics_json_fallback
exp_S2A7F_feat_impedance_teacher,m2_S005,2.6346592903137207,3.387481212615967,2.4107191258197207,225624,0.8607,2.3241,430.28,metrics_json_fallback
exp_S2A7F_feat_impedance_teacher,m2_S006,2.6177635192871094,3.2323672771453857,2.5887573580774994,225624,0.8607,2.3146,432.04,metrics_json_fallback
exp_S2A7F_feat_impedance_teacher,m2_S007,3.2099051475524902,4.0442047119140625,2.406603654491463,225624,0.8607,2.1325,468.93,metrics_json_fallback
exp_S2A7F_feat_impedance_teacher,m2_S008,2.1835880279541016,2.7665584087371826,2.556821843590399,225624,0.8607,1.7641,566.87,metrics_json_fallback
