group,mae,rmse,r2,lag_ms,mae_delta,mae_pct_change
baseline,7.3139877,8.89938,0.7275233,7.833333333333333,0.0,0.0
exp_euler_angles,7.3139877,8.89938,0.7275233,7.833333333333333,0.0,0.0
exp_attention,7.726743,8.8492365,0.7146576,4.944444444444445,0.4127555,5.6433716
exp_shallow_tcn,7.726743,8.8492365,0.7146576,4.944444444444445,0.4127555,5.6433716
exp_stride_05,7.726743,8.8492365,0.7146576,4.944444444444445,0.4127555,5.6433716
exp_stride_02,7.726743,8.8492365,0.7146576,4.944444444444445,0.4127555,5.6433716
exp_stride_10,7.726743,8.8492365,0.7146576,4.944444444444445,0.4127555,5.6433716
exp_stride_20,7.726743,8.8492365,0.7146576,4.944444444444445,0.4127555,5.6433716
exp_win_400,7.726743,8.8492365,0.7146576,4.944444444444445,0.4127555,5.6433716
exp_win_030,7.726743,8.8492365,0.7146576,4.944444444444445,0.4127555,5.6433716
exp_win_050,7.726743,8.8492365,0.7146576,4.944444444444445,0.4127555,5.6433716
exp_win_100,7.726743,8.8492365,0.7146576,4.944444444444445,0.4127555,5.6433716
exp_no_gyro,8.48695,9.895268,0.6240038,5.5555555555555545,1.1729622,16.037245
