group,mae,rmse,r2,lag_ms,mae_delta,mae_pct_change
exp_A1_smooth_001_tw,0.011344493,0.029352972,0.99352515,0.0,0.011344493,0.0
exp_A2_smooth_005_tw,0.011344493,0.029352972,0.99352515,0.0,0.011344493,0.0
exp_A3_smooth_002_tw,0.011344493,0.029352972,0.99352515,0.0,0.011344493,0.0
exp_D2_gacc_lpf10_deep,0.011625171,0.029584609,0.99342257,0.0,0.011625171,0.0
exp_D3_gacc_smooth_lpf_deep,0.011625171,0.029584609,0.99342257,0.0,0.011625171,0.0
exp_B2_smooth_lpf15_deep,0.01213762,0.030568393,0.9929778,0.0,0.01213762,0.0
exp_E4_kernel9_lpf10_tw,0.0124154305,0.03055242,0.9929852,3.0,0.0124154305,0.0
exp_C4_causal_full_smooth,0.01267503,0.029810991,0.9933215,-0.5,0.01267503,0.0
exp_B1_smooth_lpf10_deep,0.01296407,0.032850277,0.9918903,1.5,0.01296407,0.0
exp_F1_ultimate_smooth,0.013030328,0.032398764,0.9921117,3.5,0.013030328,0.0
exp_B3_lpf10_tw_deep,0.013475325,0.032549538,0.99203813,1.5,0.013475325,0.0
exp_F4_output_lpf_1hz,0.013794589,0.031784408,0.99241155,-0.5,0.013794589,0.0
exp_E2_huber005_smooth_tw,0.013859149,0.034064762,0.9912796,2.5,0.013859149,0.0
exp_D4_gacc_tw_smooth,0.01402566,0.031896655,0.99235433,1.5,0.01402566,0.0
exp_E3_kernel9_smooth,0.014279698,0.035469297,0.99054563,0.0,0.014279698,0.0
exp_D1_gacc_smooth,0.01474508,0.03192555,0.99234045,-1.5,0.01474508,0.0
exp_C1_causal_smooth_loss,0.015411177,0.033805385,0.99141186,3.0,0.015411177,0.0
exp_F3_balanced_k9,0.01670383,0.033708803,0.99146086,0.0,0.01670383,0.0
exp_C3_causal_wide21,0.016739389,0.042026848,0.98672664,0.0,0.016739389,0.0
exp_F2_balanced_smooth,0.018695423,0.041829333,0.98685116,14.5,0.018695423,0.0
exp_E1_huber_005,0.018926844,0.04729387,0.98319125,3.0,0.018926844,0.0
exp_C2_causal_lpf10,0.01928373,0.038924217,0.98861414,3.5,0.01928373,0.0
