group,mae,rmse,r2,lag_ms,mae_delta,mae_pct_change
exp_F1_global_acc_additive,0.010623832233250141,0.02857951819896698,0.9938618540763855,0.0,-0.01059448594848315,-49.930846817085964
exp_A1_smooth_loss_light,0.011118777784630069,0.027784250735950203,0.9942030247654946,0.0,-0.010099540397103222,-47.598213537008085
exp_D4_input_lpf_deep,0.012137619778513908,0.03056839294731617,0.9929777979850769,0.0,-0.009080698403219383,-42.79650406523216
exp_B1_grf_impulse,0.012668532319366932,0.03173506632447243,0.9924315810203552,0.0,-0.00854978586236636,-40.29436164138029
exp_B1_kernel_9,0.01284121535718441,0.03322629630565643,0.9917035698890686,2.0,-0.008377102824548881,-39.480522220468316
exp_B3_stance_ratio,0.013764288276433945,0.03373071551322937,0.991449773311615,0.5,-0.007454029905299347,-35.130163670165295
exp_C5_smooth_deep_tcn,0.013779732398688793,0.030892740935087204,0.9928280115127563,-2.5,-0.007438585783044498,-35.057376929375714
exp_A1_com_chain_v,0.014112469740211964,0.034375183284282684,0.991119921207428,0.0,-0.007105848441521328,-33.489216160584796
exp_A3_com_chain_deep,0.014279000461101532,0.03526264801621437,0.9906554818153381,7.0,-0.0069393177206317595,-32.70437204870352
exp_A2_com_chain_full,0.01459100004285574,0.03531008958816528,0.9906303286552429,0.0,-0.006627318138877552,-31.23394645190572
exp_C2_causal_smooth_head,0.015411176718771458,0.03380538523197174,0.9914118647575378,3.0,-0.005807141462961834,-27.368528519669212
exp_B4_all_leading,0.015458407811820507,0.03457247465848923,0.9910176992416382,0.5,-0.0057599103699127845,-27.14593268222103
exp_B3_deep_tcn,0.015803156420588493,0.03497428819537163,0.9908077120780945,0.0,-0.005415161761144798,-25.52116390547237
exp_C4_freq_deep_tcn,0.01612560637295246,0.036010775715112686,0.9902547597885132,0.0,-0.00509271180878083,-24.001486664315895
exp_H2_hybrid_norm,0.016809770837426186,0.039826538413763046,0.9880801439285278,0.0,-0.004408547344307106,-20.777081890035916
exp_F2_global_vel_additive,0.01812777668237686,0.04278679937124252,0.9862422943115234,0.0,-0.00309054149935643,-14.565440450492709
exp_D1_attention_deep,0.019082212820649147,0.035940349102020264,0.9902928471565247,0.0,-0.0021361053610841445,-10.067269907014136
exp_D1_target_lpf_03,0.019134126603603363,0.04162793606519699,0.9869661331176758,0.5,-0.0020841915781299285,-9.822604978768746
exp_F1_no_accel,0.019231267273426056,0.039278820157051086,0.988405704498291,-0.5,-0.0019870509083072356,-9.364789854164194
