group,mae,rmse,r2,lag_ms,mae_delta,mae_pct_change
exp_A5_bodyframe_plus_imuint,0.011246484,0.030398196,0.9930558,2.5,0.011246484,0.0
exp_B1_dualphysics_baseline,0.013275072,0.038215097,0.98902524,3.0,0.013275072,0.0
exp_A3_bodyframe_imu_only,0.014922935,0.041776314,0.9868844,3.5,0.014922935,0.0
exp_D3_dualphysics_wide_model,0.015583635,0.04025907,0.9878198,4.0,0.015583635,0.0
exp_B2_dualphysics_multiscale,0.017037703,0.043422133,0.98583066,17.0,0.017037703,0.0
exp_D2_dualphysics_shortwindow200,0.018450655,0.04193079,0.9870258,9.0,0.018450655,0.0
exp_A4_bodyframe_plus_rawvel,0.020765828,0.049196687,0.98181146,0.5,0.020765828,0.0
exp_A1_rawimu_baseline_repro,0.020766025,0.048870157,0.9820521,5.0,0.020766025,0.0
exp_C3_dualphysics_lpf_noise_combo,0.022387076,0.051478878,0.9800848,8.5,0.022387076,0.0
exp_D1_dualphysics_longwindow400,0.022526294,0.04982244,0.98101723,3.0,0.022526294,0.0
exp_B4_dualphysics_attention,0.026429389,0.045443606,0.9844807,4.0,0.026429389,0.0
exp_A2_rawori_plus_imuint,0.030582093,0.064615674,0.96862364,-1.5,0.030582093,0.0
exp_C2_dualphysics_pergroup_noise,0.036580924,0.077768885,0.95454955,29.5,0.036580924,0.0
exp_B3_dualphysics_causalsmooth,0.03767472,0.08159904,0.9499624,31.0,0.03767472,0.0
exp_C1_dualphysics_global_lpf8,0.03856144,0.07695146,0.9555,0.5,0.03856144,0.0
