====================================================================================================
TIME-SERIES QUALITY — Jump/Discontinuity Detection
====================================================================================================

Found 405 features with jumps:

Trial                                              | Feature                             |  N_jumps |   Max_jump |  Threshold
------------------------------------------------------------------------------------------------------------------------
S005/level_075mps/lv0/trial_01                     | forceplate/grf/right/z              |        2 |   592.8320 |   300.0000
S005/stopandgo/lv4/trial_01                        | forceplate/grf/left/z               |        1 |   586.6750 |   300.0000
S005/stopandgo/lv4/trial_01                        | forceplate/grf/right/z              |        3 |   521.0720 |   300.0000
S008/incline_10deg/lv0/trial_01                    | forceplate/grf/left/z               |        3 |   412.2540 |   300.0000
S005/level_125mps/lv7/trial_01                     | forceplate/grf/right/z              |        1 |   342.0430 |   300.0000
S008/incline_10deg/lv0/trial_01                    | forceplate/grf/right/z              |        4 |   341.3916 |   300.0000
S001/level_125mps/lv4/trial_01                     | forceplate/grf/left/y               |        1 |   323.0760 |   200.0000
S008/incline_10deg/lv4/trial_01                    | forceplate/grf/left/z               |        1 |   316.2490 |   300.0000
S008/incline_10deg/lv4/trial_01                    | forceplate/grf/right/z              |        1 |   316.0200 |   300.0000
S004/incline_10deg/lv0/trial_01                    | forceplate/grf/left/z               |        1 |   315.1760 |   300.0000
S007/incline_10deg/lv7/trial_01                    | forceplate/grf/right/z              |        1 |   310.2240 |   300.0000
S004/incline_10deg/lv4/trial_01                    | forceplate/grf/right/z              |        1 |   303.3090 |   300.0000
S001/stopandgo/lv7/trial_01                        | forceplate/grf/left/y               |        1 |   265.2099 |   200.0000
S001/stopandgo/lv7/trial_01                        | forceplate/grf/right/y              |        2 |   264.7060 |   200.0000
S004/level_125mps/lv4/trial_01                     | forceplate/grf/left/y               |        1 |   219.8743 |   200.0000
S001/level_125mps/lv4/trial_01                     | forceplate/grf/right/y              |        1 |   213.4206 |   200.0000
S007/level_125mps/lv7/trial_01                     | forceplate/grf/left/y               |        1 |   205.5285 |   200.0000
S008/stopandgo/lv7/trial_01                        | robot/back_imu/accel_z              |      163 |    74.7135 |    20.0000
S008/level_100mps/lv7/trial_01                     | robot/back_imu/accel_z              |      343 |    73.9224 |    20.0000
S008/level_075mps/lv7/trial_01                     | robot/back_imu/accel_z              |      388 |    71.7085 |    20.0000
S008/level_125mps/lv7/trial_01                     | robot/back_imu/accel_z              |      305 |    65.9408 |    20.0000
S007/level_100mps/lv7/trial_01                     | mocap/kin_q/hip_flexion_l           |      165 |    63.5119 |    15.0000
S008/level_125mps/lv4/trial_01                     | robot/back_imu/accel_z              |      127 |    60.5451 |    20.0000
S008/stopandgo/lv7/trial_02                        | robot/back_imu/accel_z              |      203 |    59.9586 |    20.0000
S008/incline_10deg/lv7/trial_01                    | robot/back_imu/accel_z              |      241 |    58.5654 |    20.0000
S007/stopandgo/lv7/trial_01                        | mocap/kin_q/hip_flexion_l           |       49 |    54.5130 |    15.0000
S007/stopandgo/lv7/trial_02                        | mocap/kin_q/hip_flexion_l           |       39 |    52.8361 |    15.0000
S007/stopandgo/lv4/trial_02                        | mocap/kin_q/hip_flexion_l           |       67 |    49.7174 |    15.0000
S008/stopandgo/lv7/trial_02                        | robot/back_imu/accel_y              |       59 |    49.2406 |    20.0000
S007/level_075mps/lv7/trial_01                     | mocap/kin_q/hip_flexion_l           |       75 |    48.7374 |    15.0000
S007/stopandgo/lv0/trial_02                        | mocap/kin_q/hip_flexion_l           |       28 |    48.2493 |    15.0000
S003/level_075mps/lv7/trial_01                     | robot/back_imu/accel_z              |       79 |    47.6607 |    20.0000
S007/level_100mps/lv4/trial_01                     | mocap/kin_q/hip_flexion_l           |       59 |    46.6920 |    15.0000
S008/level_075mps/lv7/trial_01                     | robot/back_imu/accel_y              |      114 |    46.5602 |    20.0000
S008/incline_10deg/lv4/trial_01                    | robot/back_imu/accel_z              |      135 |    45.7323 |    20.0000
S004/level_100mps/lv7/trial_01                     | robot/back_imu/accel_y              |      176 |    44.2717 |    20.0000
S008/incline_10deg/lv7/trial_01                    | robot/back_imu/accel_y              |      106 |    43.8531 |    20.0000
S007/incline_10deg/lv7/trial_01                    | mocap/kin_q/hip_flexion_l           |       15 |    43.7876 |    15.0000
S007/level_125mps/lv7/trial_01                     | mocap/kin_q/hip_flexion_l           |      150 |    42.9273 |    15.0000
S008/level_125mps/lv7/trial_01                     | robot/back_imu/accel_y              |      171 |    42.4773 |    20.0000
S007/level_100mps/lv7/trial_01                     | mocap/kin_q/hip_flexion_r           |      124 |    42.3944 |    15.0000
S008/stopandgo/lv4/trial_01                        | robot/back_imu/accel_z              |       40 |    41.8126 |    20.0000
S001/level_125mps/lv7/trial_01                     | robot/back_imu/accel_z              |       29 |    41.6358 |    20.0000
S004/level_125mps/lv7/trial_01                     | robot/back_imu/accel_y              |      191 |    40.5470 |    20.0000
S007/stopandgo/lv0/trial_01                        | mocap/kin_q/hip_flexion_l           |       20 |    40.1371 |    15.0000
S001/level_100mps/lv7/trial_01                     | robot/back_imu/accel_y              |       23 |    39.9703 |    20.0000
S003/level_075mps/lv7/trial_01                     | robot/back_imu/accel_y              |      105 |    39.2627 |    20.0000
S008/stopandgo/lv7/trial_01                        | robot/back_imu/accel_y              |       77 |    39.2130 |    20.0000
S007/level_125mps/lv0/trial_01                     | robot/right/thigh_angle             |        1 |    38.6499 |    15.0000
S007/stopandgo/lv7/trial_01                        | robot/back_imu/accel_y              |       32 |    38.4729 |    20.0000
S004/level_075mps/lv7/trial_02                     | robot/back_imu/accel_y              |      131 |    38.2840 |    20.0000
S008/stopandgo/lv4/trial_02                        | robot/back_imu/accel_z              |       52 |    37.4205 |    20.0000
S007/level_125mps/lv0/trial_01                     | robot/right/hip_angle               |        1 |    37.1778 |    15.0000
S004/stopandgo/lv7/trial_02                        | robot/back_imu/accel_y              |       44 |    36.9068 |    20.0000
S003/level_100mps/lv7/trial_01                     | robot/back_imu/accel_z              |       66 |    36.2044 |    20.0000
S004/incline_10deg/lv7/trial_01                    | robot/back_imu/accel_y              |      216 |    36.0323 |    20.0000
S002/level_100mps/lv7/trial_01                     | robot/back_imu/accel_y              |       24 |    35.7428 |    20.0000
S007/stopandgo/lv4/trial_01                        | mocap/kin_q/hip_flexion_l           |       41 |    35.6502 |    15.0000
S002/incline_10deg/lv7/trial_01                    | robot/back_imu/accel_y              |       23 |    35.5225 |    20.0000
S002/level_125mps/lv4/trial_01                     | robot/back_imu/accel_y              |       41 |    35.2076 |    20.0000
S007/stopandgo/lv7/trial_01                        | mocap/kin_q/hip_flexion_r           |       26 |    35.1737 |    15.0000
S008/level_125mps/lv4/trial_01                     | robot/back_imu/accel_y              |       67 |    35.1351 |    20.0000
S004/stopandgo/lv7/trial_01                        | robot/back_imu/accel_y              |       45 |    34.5320 |    20.0000
S004/incline_10deg/lv7/trial_02                    | robot/back_imu/accel_y              |      149 |    34.5033 |    20.0000
S007/stopandgo/lv7/trial_02                        | mocap/kin_q/hip_flexion_r           |       22 |    34.3785 |    15.0000
S003/level_075mps/lv4/trial_01                     | robot/back_imu/accel_z              |       40 |    34.1585 |    20.0000
S003/level_075mps/lv4/trial_01                     | robot/back_imu/accel_y              |       18 |    34.0811 |    20.0000
S003/incline_10deg/lv7/trial_01                    | robot/back_imu/accel_y              |      175 |    33.8901 |    20.0000
S007/stopandgo/lv7/trial_01                        | robot/back_imu/accel_z              |        9 |    32.9653 |    20.0000
S007/incline_10deg/lv4/trial_01                    | mocap/kin_q/hip_flexion_l           |        2 |    32.8532 |    15.0000
S005/level_100mps/lv7/trial_01                     | robot/back_imu/accel_y              |      120 |    32.7822 |    20.0000
S007/stopandgo/lv4/trial_02                        | mocap/kin_q/hip_flexion_r           |       37 |    32.2721 |    15.0000
S008/level_125mps/lv7/trial_01                     | robot/back_imu/accel_x              |       13 |    32.2357 |    20.0000
S007/level_075mps/lv7/trial_01                     | mocap/kin_q/hip_flexion_r           |       35 |    32.1476 |    15.0000
S001/level_100mps/lv4/trial_01                     | robot/back_imu/accel_y              |        8 |    32.0900 |    20.0000
S005/level_125mps/lv7/trial_01                     | robot/back_imu/accel_x              |       24 |    32.0823 |    20.0000
