archive,channels,config_path,distill_weight,exp_name,experiment_dir,gru_hidden,host_latency_ms,input_groups,input_lpf,kernel_size,lag_ms,model_type,n_input_channels,n_input_groups,n_params,output_vars,prior_loss_weight,residual_skip,season,seed,smoothness,target_transform,test_mae,test_r2,test_rmse,test_subject,window,y_delay,group_key
archive_round1,None,configs/archive_season1/archive_round1/exp_multistep_H10.yaml,,exp_multistep_H10,exp_multistep_H10_Test-m1_S011_seed42,,2.618,,,,,TCN,0,0,401766,,,False,archive_season1,42,,,0.012694238685071468,,0.027820266783237457,m1_S011,,,archive_season1/archive_round1
archive_round3,"[32, 32, 64, 64, 128, 128]",configs/archive_season1/archive_round3/exp_F1_global_acc_additive.yaml,,exp_F1_global_acc_additive,exp_F1_global_acc_additive_Test-m2_S008_seed42,32,2.4276,mocap/kin_q:6|mocap/kin_q:6|mocap/kin_q:6|robot/back_imu:5|robot/left:1|robot/right:1|forceplate/grf/left:4|forceplate/grf/right:4|sub_info:2,,5,,TCN_GRU,35,9,409287,treadmill/left/speed_leftbelt,,False,archive_season1,42,,,0.010667824186384678,,0.028592748567461967,m2_S008,,5,archive_season1/archive_round3
archive_round4,"[32, 32, 64, 64, 128, 128]",configs/archive_season1/archive_round4/exp_A1_smooth_loss_light.yaml,,exp_A1_smooth_loss_light,exp_A1_smooth_loss_light_Test-m2_S008_seed42,32,2.5291,mocap/kin_q:6|mocap/kin_q:6|mocap/kin_q:6|robot/back_imu:4|robot/left:1|robot/right:1|forceplate/grf/left:4|forceplate/grf/right:4|sub_info:2,,5,,TCN_GRU,34,9,409157,treadmill/left/speed_leftbelt,,False,archive_season1,42,,,0.011177187785506248,,0.027923395857214928,m2_S008,,5,archive_season1/archive_round4
archive_round5,"[32, 32, 64, 64, 128, 128, 128, 128]",configs/archive_season1/archive_round5/exp_D4_input_lpf_deep.yaml,,exp_D4_input_lpf_deep,exp_D4_input_lpf_deep_Test-m2_S008_seed42,,3.1103,,15.0,,,TCN,0,0,738241,,,False,archive_season1,42,,,0.012294537387788296,,0.03097604028880596,m2_S008,,,archive_season1/archive_round5
archive_round6,"[32, 32, 64, 64, 128, 128]",configs/archive_season1/archive_round6/exp_E2_augment_time_warp.yaml,,exp_E2_augment_time_warp,exp_E2_augment_time_warp_Test-m2_S008_seed42,32,2.4355,mocap/kin_q:6|mocap/kin_q:6|mocap/kin_q:6|robot/back_imu:4|robot/left:1|robot/right:1|forceplate/grf/left:4|forceplate/grf/right:4|sub_info:2,,5,,TCN_GRU,34,9,409025,treadmill/left/speed_leftbelt,,False,archive_season1,42,,,0.011346599087119102,,0.02935187891125679,m2_S008,,5,archive_season1/archive_round6
archive_round7,None,configs/archive_season1/archive_round7/exp_A1_smooth_001_tw.yaml,,exp_A1_smooth_001_tw,exp_A1_smooth_001_tw_Test-m2_S008_seed42,,2.4557,,,,,TCN,0,0,409025,,,False,archive_season1,42,,,0.011346599087119102,,0.02935187891125679,m2_S008,,,archive_season1/archive_round7
archive_round8,None,configs/archive_season1/archive_round8/exp_C2_noise_010.yaml,,exp_C2_noise_010,exp_C2_noise_010_Test-m2_S008_seed42,,2.4318,,,,,TCN,0,0,409025,,,False,archive_season1,42,,,0.013945369981229305,,0.03760194778442383,m2_S008,,,archive_season1/archive_round8
archive_season1,"[32, 32, 64, 64, 128, 128]",configs/archive_season1/baseline.yaml,,baseline,baseline_Test-m2_S008_seed42,32,2.4344,mocap/kin_q:6|mocap/kin_q:6|mocap/kin_q:6|robot/back_imu:4|robot/left:1|robot/right:1|forceplate/grf/left:4|forceplate/grf/right:4|sub_info:2,,5,,TCN_GRU,34,9,409025,treadmill/left/speed_leftbelt,,False,archive_season1,42,,,0.010542823933064938,,0.02885955199599266,m2_S008,,5,archive_season1/archive_season1
archive_1,"[32, 32, 64, 64, 128, 128]",configs/archive_season2/archive_1/exp_S2_imu_speed_only.yaml,,exp_S2_imu_speed_only,exp_S2_imu_speed_only_Test-m2_S008_seed42,32,2.5721,mocap/kin_q:6|mocap/kin_q:6|mocap/kin_q:6|derived/body_frame_imu:7|derived/imu_integrated_speed:1|robot/left:1|robot/right:1|forceplate/grf/left:4|forceplate/grf/right:4|sub_info:2,,5,,TCN_GRU,38,10,409793,treadmill/left/speed_leftbelt,,False,archive_season2,42,,,0.01124691404402256,,0.03038874641060829,m2_S008,,5,archive_season2/archive_1
archive_2,"[32, 32, 64, 64, 128, 128]",configs/archive_season2/archive_2/exp_A5_bodyframe_plus_imuint.yaml,,exp_A5_bodyframe_plus_imuint,exp_A5_bodyframe_plus_imuint_Test-m2_S008_seed42,32,2.4362,mocap/kin_q:6|mocap/kin_q:6|mocap/kin_q:6|derived/body_frame_imu:7|derived/imu_integrated_speed:1|robot/left:1|robot/right:1|forceplate/grf/left:4|forceplate/grf/right:4|sub_info:2,,5,,TCN_GRU,38,10,409793,treadmill/left/speed_leftbelt,,False,archive_season2,42,,,0.01124691404402256,,0.03038874641060829,m2_S008,,5,archive_season2/archive_2
