archive,channels,config_path,distill_weight,exp_name,experiment_dir,gru_hidden,host_latency_ms,input_groups,input_lpf,kernel_size,lag_ms,model_type,n_input_channels,n_input_groups,n_params,output_vars,prior_loss_weight,residual_skip,season,seed,smoothness,target_transform,test_mae,test_r2,test_rmse,test_subject,window,y_delay,family
archive_1,"[32, 32, 64, 64, 128, 128]",configs/archive_season3/archive_1/exp_S3A1_G009_raw_full_w200_base_pglpf.yaml,,exp_S3A1_G009_raw_full_w200_base_pglpf,exp_S3A1_G009_raw_full_w200_base_pglpf_Test-m2_S008_seed42,32,2.5932,mocap/kin_q:6|mocap/kin_q:6|mocap/kin_q:6|robot/back_imu:4|robot/left:1|robot/right:1|forceplate/grf/left:4|forceplate/grf/right:4|sub_info:2,,5,,TCN_GRU,34,9,409025,common/v_Y_true,,False,archive_season3,42,,,0.02438955381512642,,0.034558024257421494,m2_S008,,5,raw_full
archive_1,"[32, 32, 64, 64, 128, 128]",configs/archive_season3/archive_1/exp_S3A1_G079_imuint_full_w200_base_none.yaml,,exp_S3A1_G079_imuint_full_w200_base_none,exp_S3A1_G079_imuint_full_w200_base_none_Test-m2_S008_seed42,32,2.441,mocap/kin_q:6|mocap/kin_q:6|mocap/kin_q:6|derived/body_frame_imu:7|derived/imu_integrated_speed:1|robot/left:1|robot/right:1|forceplate/grf/left:4|forceplate/grf/right:4|sub_info:2,,5,,TCN_GRU,38,10,409793,common/v_Y_true,,False,archive_season3,42,,,0.024422435089945793,,0.034595996141433716,m2_S008,,5,imuint_full
archive_1,"[24, 24, 48, 48, 64, 64]",configs/archive_season3/archive_1/exp_S3A1_G130_fusionimu_lite_w300_compact_none.yaml,,exp_S3A1_G130_fusionimu_lite_w300_compact_none,exp_S3A1_G130_fusionimu_lite_w300_compact_none_Test-m2_S008_seed42,24,2.5662,mocap/kin_q:6|mocap/kin_q:6|mocap/kin_q:6|derived/body_frame_imu:7|derived/imu_integrated_speed:1|sub_info:2,,5,,FusionTCN_GRU,28,6,142364,common/v_Y_true,,False,archive_season3,42,,,0.026030296459794044,,0.03720405697822571,m2_S008,,5,fusionimu_lite
archive_1,"[32, 32, 64, 64, 128, 128]",configs/archive_season3/archive_1/exp_S3A1_G062_bf_lite_w200_base_glpf8.yaml,,exp_S3A1_G062_bf_lite_w200_base_glpf8,exp_S3A1_G062_bf_lite_w200_base_glpf8_Test-m2_S008_seed42,32,2.4522,mocap/kin_q:6|mocap/kin_q:6|mocap/kin_q:6|derived/body_frame_imu:7|sub_info:2,8.0,5,,TCN_GRU,27,5,407681,common/v_Y_true,,False,archive_season3,42,,,0.026217145845294,,0.03846884146332741,m2_S008,,5,bf_lite
archive_1,"[32, 32, 64, 64, 128, 128]",configs/archive_season3/archive_1/exp_S3A1_G110_fusionimu_full_w300_base_glpf8.yaml,,exp_S3A1_G110_fusionimu_full_w300_base_glpf8,exp_S3A1_G110_fusionimu_full_w300_base_glpf8_Test-m2_S008_seed42,32,2.5476,mocap/kin_q:6|mocap/kin_q:6|mocap/kin_q:6|derived/body_frame_imu:7|derived/imu_integrated_speed:1|robot/left:1|robot/right:1|forceplate/grf/left:4|forceplate/grf/right:4|sub_info:2,8.0,5,,FusionTCN_GRU,38,10,409892,common/v_Y_true,,False,archive_season3,42,,,0.02621900662779808,,0.037619445472955704,m2_S008,,5,fusionimu_full
archive_1,"[32, 32, 64, 64, 128, 128]",configs/archive_season3/archive_1/exp_S3A1_G021_raw_lite_w300_base_pglpf.yaml,,exp_S3A1_G021_raw_lite_w300_base_pglpf,exp_S3A1_G021_raw_lite_w300_base_pglpf_Test-m2_S008_seed42,32,2.4757,mocap/kin_q:6|mocap/kin_q:6|mocap/kin_q:6|robot/back_imu:4|sub_info:2,,5,,TCN_GRU,24,5,407105,common/v_Y_true,,False,archive_season3,42,,,0.026362759992480278,,0.038184236735105515,m2_S008,,5,raw_lite
archive_1,"[24, 24, 48, 48, 64, 64]",configs/archive_season3/archive_1/exp_S3A1_G095_imuint_lite_w300_compact_glpf8.yaml,,exp_S3A1_G095_imuint_lite_w300_compact_glpf8,exp_S3A1_G095_imuint_lite_w300_compact_glpf8_Test-m2_S008_seed42,24,2.4399,mocap/kin_q:6|mocap/kin_q:6|mocap/kin_q:6|derived/body_frame_imu:7|derived/imu_integrated_speed:1|sub_info:2,8.0,5,,TCN_GRU,28,6,142289,common/v_Y_true,,False,archive_season3,42,,,0.02698829583823681,,0.0393497534096241,m2_S008,,5,imuint_lite
archive_1,"[32, 32, 64, 64, 128, 128]",configs/archive_season3/archive_1/exp_S3A1_G145_dual_full_w300_base_none.yaml,,exp_S3A1_G145_dual_full_w300_base_none,exp_S3A1_G145_dual_full_w300_base_none_Test-m2_S008_seed42,32,2.6729,mocap/kin_q:6|mocap/kin_q:6|mocap/kin_q:6|derived/body_frame_imu:7|derived/model_com_speed:1|derived/imu_integrated_speed:1|robot/left:1|robot/right:1|forceplate/grf/left:4|forceplate/grf/right:4|sub_info:2,,5,,FusionTCN_GRU,39,11,410117,common/v_Y_true,,False,archive_season3,42,,,0.027076907455921173,,0.03949076309800148,m2_S008,,5,dual_full
archive_1,"[32, 32, 64, 64, 128, 128]",configs/archive_season3/archive_1/exp_S3A1_G039_bf_full_w300_base_pglpf.yaml,,exp_S3A1_G039_bf_full_w300_base_pglpf,exp_S3A1_G039_bf_full_w300_base_pglpf_Test-m2_S008_seed42,32,2.4719,mocap/kin_q:6|mocap/kin_q:6|mocap/kin_q:6|derived/body_frame_imu:7|robot/left:1|robot/right:1|forceplate/grf/left:4|forceplate/grf/right:4|sub_info:2,,5,,TCN_GRU,37,9,409601,common/v_Y_true,,False,archive_season3,42,,,0.028063172474503517,,0.0416078045964241,m2_S008,,5,bf_full
archive_1,"[24, 24, 48, 48, 64, 64]",configs/archive_season3/archive_1/exp_S3A1_G172_dualsoft_full_w200_compact_none.yaml,,exp_S3A1_G172_dualsoft_full_w200_compact_none,exp_S3A1_G172_dualsoft_full_w200_compact_none_Test-m2_S008_seed42,24,2.6779,mocap/kin_q:6|mocap/kin_q:6|mocap/kin_q:6|derived/body_frame_imu:7|derived/model_com_speed:1|derived/imu_integrated_speed:1|robot/left:1|robot/right:1|forceplate/grf/left:4|forceplate/grf/right:4|sub_info:2,,5,,FusionTCN_GRU,39,11,143973,common/v_Y_true,0.005,False,archive_season3,42,,,0.028863534331321716,,0.04038752615451813,m2_S008,,5,dualsoft_full
