archive,channels,config_path,distill_weight,exp_name,experiment_dir,gru_hidden,host_latency_ms,input_groups,input_lpf,kernel_size,lag_ms,model_type,n_input_channels,n_input_groups,n_params,output_vars,prior_loss_weight,residual_skip,season,seed,smoothness,target_transform,test_mae,test_r2,test_rmse,test_subject,window,y_delay
archive_1,"[32, 32, 64, 64, 128, 128]",configs/archive_season3/archive_1/exp_S3A1_G009_raw_full_w200_base_pglpf.yaml,,exp_S3A1_G009_raw_full_w200_base_pglpf,exp_S3A1_G009_raw_full_w200_base_pglpf_Test-m2_S008_seed42,32,2.5932,mocap/kin_q:6|mocap/kin_q:6|mocap/kin_q:6|robot/back_imu:4|robot/left:1|robot/right:1|forceplate/grf/left:4|forceplate/grf/right:4|sub_info:2,,5,,TCN_GRU,34,9,409025,common/v_Y_true,,False,archive_season3,42,,,0.02438955381512642,,0.034558024257421494,m2_S008,,5
archive_1,"[32, 32, 64, 64, 128, 128]",configs/archive_season3/archive_1/exp_S3A1_G079_imuint_full_w200_base_none.yaml,,exp_S3A1_G079_imuint_full_w200_base_none,exp_S3A1_G079_imuint_full_w200_base_none_Test-m2_S008_seed42,32,2.441,mocap/kin_q:6|mocap/kin_q:6|mocap/kin_q:6|derived/body_frame_imu:7|derived/imu_integrated_speed:1|robot/left:1|robot/right:1|forceplate/grf/left:4|forceplate/grf/right:4|sub_info:2,,5,,TCN_GRU,38,10,409793,common/v_Y_true,,False,archive_season3,42,,,0.024422435089945793,,0.034595996141433716,m2_S008,,5
archive_1,"[32, 32, 64, 64, 128, 128]",configs/archive_season3/archive_1/exp_S3A1_G081_imuint_full_w200_base_pglpf.yaml,,exp_S3A1_G081_imuint_full_w200_base_pglpf,exp_S3A1_G081_imuint_full_w200_base_pglpf_Test-m2_S008_seed42,32,2.4962,mocap/kin_q:6|mocap/kin_q:6|mocap/kin_q:6|derived/body_frame_imu:7|derived/imu_integrated_speed:1|robot/left:1|robot/right:1|forceplate/grf/left:4|forceplate/grf/right:4|sub_info:2,,5,,TCN_GRU,38,10,409793,common/v_Y_true,,False,archive_season3,42,,,0.024524925276637077,,0.03563779965043068,m2_S008,,5
archive_1,"[24, 24, 48, 48, 64, 64]",configs/archive_season3/archive_1/exp_S3A1_G004_raw_full_w300_compact_none.yaml,,exp_S3A1_G004_raw_full_w300_compact_none,exp_S3A1_G004_raw_full_w300_compact_none_Test-m2_S008_seed42,24,2.5057,mocap/kin_q:6|mocap/kin_q:6|mocap/kin_q:6|robot/back_imu:4|robot/left:1|robot/right:1|forceplate/grf/left:4|forceplate/grf/right:4|sub_info:2,,5,,TCN_GRU,34,9,143153,common/v_Y_true,,False,archive_season3,42,,,0.02463717758655548,,0.03630650043487549,m2_S008,,5
archive_1,"[24, 24, 48, 48, 64, 64]",configs/archive_season3/archive_1/exp_S3A1_G130_fusionimu_lite_w300_compact_none.yaml,,exp_S3A1_G130_fusionimu_lite_w300_compact_none,exp_S3A1_G130_fusionimu_lite_w300_compact_none_Test-m2_S008_seed42,24,2.5662,mocap/kin_q:6|mocap/kin_q:6|mocap/kin_q:6|derived/body_frame_imu:7|derived/imu_integrated_speed:1|sub_info:2,,5,,FusionTCN_GRU,28,6,142364,common/v_Y_true,,False,archive_season3,42,,,0.026030296459794044,,0.03720405697822571,m2_S008,,5
archive_1,"[32, 32, 64, 64, 128, 128]",configs/archive_season3/archive_1/exp_S3A1_G062_bf_lite_w200_base_glpf8.yaml,,exp_S3A1_G062_bf_lite_w200_base_glpf8,exp_S3A1_G062_bf_lite_w200_base_glpf8_Test-m2_S008_seed42,32,2.4522,mocap/kin_q:6|mocap/kin_q:6|mocap/kin_q:6|derived/body_frame_imu:7|sub_info:2,8.0,5,,TCN_GRU,27,5,407681,common/v_Y_true,,False,archive_season3,42,,,0.026217145845294,,0.03846884146332741,m2_S008,,5
archive_1,"[32, 32, 64, 64, 128, 128]",configs/archive_season3/archive_1/exp_S3A1_G110_fusionimu_full_w300_base_glpf8.yaml,,exp_S3A1_G110_fusionimu_full_w300_base_glpf8,exp_S3A1_G110_fusionimu_full_w300_base_glpf8_Test-m2_S008_seed42,32,2.5476,mocap/kin_q:6|mocap/kin_q:6|mocap/kin_q:6|derived/body_frame_imu:7|derived/imu_integrated_speed:1|robot/left:1|robot/right:1|forceplate/grf/left:4|forceplate/grf/right:4|sub_info:2,8.0,5,,FusionTCN_GRU,38,10,409892,common/v_Y_true,,False,archive_season3,42,,,0.02621900662779808,,0.037619445472955704,m2_S008,,5
archive_1,"[32, 32, 64, 64, 128, 128]",configs/archive_season3/archive_1/exp_S3A1_G014_raw_full_w150_base_glpf8.yaml,,exp_S3A1_G014_raw_full_w150_base_glpf8,exp_S3A1_G014_raw_full_w150_base_glpf8_Test-m2_S008_seed42,32,2.4754,mocap/kin_q:6|mocap/kin_q:6|mocap/kin_q:6|robot/back_imu:4|robot/left:1|robot/right:1|forceplate/grf/left:4|forceplate/grf/right:4|sub_info:2,8.0,5,,TCN_GRU,34,9,409025,common/v_Y_true,,False,archive_season3,42,,,0.02633383311331272,,0.037419192492961884,m2_S008,,5
archive_1,"[32, 32, 64, 64, 128, 128]",configs/archive_season3/archive_1/exp_S3A1_G021_raw_lite_w300_base_pglpf.yaml,,exp_S3A1_G021_raw_lite_w300_base_pglpf,exp_S3A1_G021_raw_lite_w300_base_pglpf_Test-m2_S008_seed42,32,2.4757,mocap/kin_q:6|mocap/kin_q:6|mocap/kin_q:6|robot/back_imu:4|sub_info:2,,5,,TCN_GRU,24,5,407105,common/v_Y_true,,False,archive_season3,42,,,0.026362759992480278,,0.038184236735105515,m2_S008,,5
archive_1,"[32, 32, 64, 64, 128, 128]",configs/archive_season3/archive_1/exp_S3A1_G063_bf_lite_w200_base_pglpf.yaml,,exp_S3A1_G063_bf_lite_w200_base_pglpf,exp_S3A1_G063_bf_lite_w200_base_pglpf_Test-m2_S008_seed42,32,2.4403,mocap/kin_q:6|mocap/kin_q:6|mocap/kin_q:6|derived/body_frame_imu:7|sub_info:2,,5,,TCN_GRU,27,5,407681,common/v_Y_true,,False,archive_season3,42,,,0.02637610211968422,,0.0391421802341938,m2_S008,,5
