feature,importance
derived/body_frame_imu/forward_accel_overground,0.16093044
derived/body_frame_imu/accel_forward,0.13486628
mocap/kin_q/hip_flexion_l_dot,0.04638658
forceplate/grf/left/y,0.03141422
forceplate/grf/right/y,0.028038673
mocap/kin_q/hip_flexion_r_dot,0.025583755
derived/body_frame_imu/accel_up,0.018177476
mocap/kin_q/knee_angle_r_dot,0.01634717
mocap/kin_q/ankle_angle_l_dot,0.014909424
mocap/kin_q/ankle_angle_r_dot,0.014828213
forceplate/grf/right/z,0.013315074
mocap/kin_q/knee_angle_l_ddot,0.01305265
forceplate/grf/left/z,0.008883145
mocap/kin_q/ankle_angle_r_ddot,0.008293584
mocap/kin_q/ankle_angle_r,0.008060321
mocap/kin_q/knee_angle_r_ddot,0.0058607496
mocap/kin_q/knee_angle_l,0.005775444
mocap/kin_q/knee_angle_l_dot,0.0047277417
mocap/kin_q/ankle_angle_l_ddot,0.00463761
mocap/kin_q/ankle_angle_l,0.004368985
mocap/kin_q/hip_flexion_r,0.004343299
mocap/kin_q/hip_flexion_l,0.004303571
forceplate/grf/right/x,0.004133079
mocap/kin_q/hip_flexion_l_ddot,0.0034847762
mocap/kin_q/hip_flexion_r_ddot,0.0029372554
mocap/kin_q/knee_angle_r,0.0028142966
forceplate/grf/left/x,0.00237743
derived/body_frame_imu/gyro_right,0.001366023
robot/left/torque,0.0011455696
derived/imu_integrated_speed/imu_integrated_speed,0.0010960996
derived/body_frame_imu/gyro_forward,0.0008059535
derived/body_frame_imu/accel_right,0.00075837784
robot/right/torque,0.0005417261
derived/body_frame_imu/gyro_up,3.9713457e-05
sub_info/weight,-7.450581e-09
sub_info/height,-7.450581e-09
forceplate/grf/right/contact_r,-3.2056123e-06
forceplate/grf/left/contact_l,-7.774681e-06
