feature,importance
derived/body_frame_imu/forward_accel_overground,0.5057797
derived/body_frame_imu/accel_forward,0.49751493
robot/left/thigh_angle,0.3747361
robot/right/thigh_angle,0.34726337
robot/right/hip_angle,0.24196064
robot/left/hip_angle,0.23715043
derived/body_frame_imu/accel_up,0.15338159
derived/body_frame_imu/gyro_right,0.01276347
derived/body_frame_imu/accel_right,0.008734778
derived/interaction_power/interaction_power_r,0.0054194853
derived/interaction_power/interaction_work_neg,0.002700448
derived/interaction_power/interaction_work_pos,0.0018139258
robot/right/torque,0.0017145947
derived/body_frame_imu/gyro_forward,0.001140885
derived/interaction_power/interaction_power_l,0.0011295453
sub_info/height,-2.2351742e-08
sub_info/weight,-2.2351742e-08
derived/body_frame_imu/gyro_up,-0.0012363046
robot/left/torque,-0.0050360262
