feature,importance
robot/right/thigh_angle,0.29367337
robot/left/thigh_angle,0.2560283
derived/body_frame_imu/accel_up,0.19555452
robot/right/hip_angle,0.17449203
robot/left/hip_angle,0.115415774
derived/body_frame_imu/forward_accel_overground,0.10248662
derived/body_frame_imu/accel_forward,0.0838011
derived/body_frame_imu/accel_right,0.015893102
derived/body_frame_imu/gyro_right,0.014960334
derived/interaction_power/interaction_work_pos,0.012684844
derived/stride_progression/stride_speed_robot,0.010314852
derived/body_frame_imu/gyro_forward,0.007739581
derived/interaction_power/interaction_power_l,0.0049779713
robot/right/torque,0.0035195649
derived/interaction_power/interaction_power_r,0.0029374063
derived/interaction_power/interaction_work_neg,0.0018993467
robot/left/torque,4.4174492e-05
derived/imu_speed_causal/imu_speed_causal,2.9057264e-06
sub_info/height,2.2351742e-08
sub_info/weight,2.2351742e-08
derived/body_frame_imu/gyro_up,-0.00017291307
