group,mae,rmse,r2,lag_ms,mae_delta,mae_pct_change
exp_A8_with_imu_speed,0.0462,,,18.0,0.0462,0.0
exp_B2_deep_tcn,0.0477,,,9.0,0.0477,0.0
exp_A6_bf_forward_only,0.0519,,,9.0,0.0519,0.0
exp_A3_exo_full_kin,0.0543,,,18.5,0.0543,0.0
exp_A5_no_sub,0.0543,,,18.5,0.0543,0.0
exp_A4_bf_accel_only,0.0566,,,22.0,0.0566,0.0
exp_B1_kernel_9,0.0589,,,9.5,0.0589,0.0
exp_A10_exo_with_speed,0.0602,,,36.0,0.0602,0.0
exp_A2_exo_pos,0.0623,,,20.0,0.0623,0.0
exp_D2_full_combo,0.0746,,,47.5,0.0746,0.0
exp_C2_input_lpf_6,0.0791,,,40.5,0.0791,0.0
exp_A7_all_features,0.0827,,,47.5,0.0827,0.0
exp_C1_smooth_loss,0.0827,,,47.5,0.0827,0.0
exp_C3_no_input_lpf,0.0827,,,47.5,0.0827,0.0
exp_A1_local_imu_torque,0.0834,,,59.0,0.0834,0.0
exp_A9_minimal_with_speed,0.0854,,,63.0,0.0854,0.0
exp_B3_gru_64,0.0948,,,47.0,0.0948,0.0
exp_D1_smooth_tw,0.1243,,,42.5,0.1243,0.0
exp_A11_residual_imu,0.6287,,,91995.0,0.6287,0.0
