condition,level,mae,rmse,r2,signed_bias,std_error,steady_plateau_bias,steady_plateau_mae,onset_error,decay_error,trough_error_p05,subject
accel_sine,lv0,0.0564634650945663,0.0702874064445495,0.9530854228478276,-0.0198924690485,0.067413717508316,-0.0212187804281711,0.0550572499632835,-0.0382944121956825,0.2025619596242904,-0.1237240210175514,m2_S001
decline_5deg,lv0,0.0195038467645645,0.0328875035047531,0.9298674822198912,0.0077207530848681,0.0319683849811553,0.0067049423232674,0.0177291743457317,-0.0633347183465957,0.2473948746919632,-0.0291862841695547,m2_S001
incline_10deg,lv0,0.0249200817197561,0.0449525006115436,0.882768499744661,-0.003174518700689,0.0448402687907218,-0.0032597740646451,0.0232334546744823,-0.1343382447957992,0.1465848088264465,-0.0547516494989395,m2_S001
level_075mps,lv0,0.0214999318122863,0.031215276569128,0.9330168139604909,0.0002879943931475,0.0311864120885729,-4.845505463890731e-05,0.0207111472263932,-0.032306614331901,0.1684706211090088,-0.0403167679905891,m2_S001
level_100mps,lv0,0.0268762446939945,0.036028154194355,0.9628547446722128,0.0115642538294196,0.0341217815876007,0.0116894366219639,0.0254640374332666,-0.0808649808168411,0.0895904228091239,-0.043956484645605,m2_S001
level_125mps,lv0,0.0313838459551334,0.0450120717287063,0.9685246479174132,-0.0064282370731234,0.0445506945252418,-0.0066032796166837,0.0300066024065017,-0.0788977295160293,0.0844152271747589,-0.0836549773812294,m2_S001
stopandgo,lv0,0.0401419270783662,0.065717464312911,0.9796538295068627,-0.0011811215081252,0.0656624939292669,-0.0017947837477549,0.0227120723575353,-0.0847573727369308,0.0813521593809127,-0.124378852546215,m2_S001
accel_sine,lv0,0.0648255944252014,0.0803064033389091,0.938757476528226,-0.0231454949826002,0.0768986642360687,-0.0241984874010086,0.0631017684936523,-0.0883220359683036,0.2124003469944,-0.1400364339351654,m2_S002
decline_5deg,lv0,0.0195491649210453,0.0335555747151374,0.9269892226469328,0.0054857353679835,0.0331041254103183,0.0045400578528642,0.0176121424883604,-0.0817470699548721,0.2521966099739074,-0.0317935682833194,m2_S002
incline_10deg,lv0,0.0274841468781232,0.0483863055706024,0.864174416060365,-0.0112985176965594,0.0470486767590045,-0.0117334146052598,0.0257818233221769,-0.1193228065967559,0.1652843952178955,-0.0601295307278633,m2_S002
