feature,importance,fold
Robot_L_Hip_angle_Linvel,0.0182664729118147,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S001_seed42
Robot_R_Hip_angle_Linvel,0.0155207796661897,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S001_seed42
Robot_R_Hip_angle,0.011960662740409,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S001_seed42
Robot_L_Hip_angle,0.0094706496726128,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S001_seed42
tilt_tvcf_imu_2d_og_gyro_up,0.0017147775620871,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S001_seed42
tilt_tvcf_summary_2d_og_acc_h_mag,0.0014715833966955,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S001_seed42
tilt_tvcf_imu_2d_og_acc_hx,0.0008448044421584,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S001_seed42
tilt_tvcf_imu_2d_og_acc_hy,0.0007410842407388,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S001_seed42
tilt_tvcf_imu_2d_og_gyro_hx,0.0002073741051519,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S001_seed42
tilt_tvcf_velocity_2d_og_vel_hy,-4.226808472095056e-05,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S001_seed42
tilt_tvcf_imu_2d_og_roll_cf,-5.044141781190489e-05,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S001_seed42
tilt_tvcf_summary_2d_og_vel_h_mag,-7.380734835837205e-05,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S001_seed42
tilt_tvcf_velocity_2d_og_vel_hx,-9.76479495290554e-05,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S001_seed42
tilt_tvcf_imu_2d_og_acc_up,-0.0001690382571575,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S001_seed42
tilt_tvcf_imu_2d_og_pitch_cf,-0.000890533073214,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S001_seed42
Robot_speed_anchor_geom,-0.0015864829659162,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S001_seed42
Robot_cadence_mean,-0.0018526160088016,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S001_seed42
tilt_tvcf_imu_2d_og_gyro_hy,-0.0023154396813369,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S001_seed42
Robot_L_Hip_angle,0.0184750226783368,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S002_seed42
Robot_R_Hip_angle_Linvel,0.0174778339623082,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S002_seed42
Robot_R_Hip_angle,0.0149034380373019,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S002_seed42
Robot_L_Hip_angle_Linvel,0.0080711889590824,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S002_seed42
Robot_cadence_mean,0.0012807908428948,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S002_seed42
tilt_tvcf_summary_2d_og_acc_h_mag,0.0008186756525581,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S002_seed42
tilt_tvcf_imu_2d_og_acc_up,0.0004653664898607,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S002_seed42
tilt_tvcf_imu_2d_og_acc_hx,0.0002152898400348,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S002_seed42
tilt_tvcf_velocity_2d_og_vel_hx,0.0001089912684793,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S002_seed42
tilt_tvcf_velocity_2d_og_vel_hy,-1.4314350907627256e-05,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S002_seed42
tilt_tvcf_summary_2d_og_vel_h_mag,-5.204858323886591e-05,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S002_seed42
tilt_tvcf_imu_2d_og_gyro_hx,-5.904616291948009e-05,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S002_seed42
tilt_tvcf_imu_2d_og_pitch_cf,-0.0005767228880544,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S002_seed42
tilt_tvcf_imu_2d_og_acc_hy,-0.0010463971653999,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S002_seed42
tilt_tvcf_imu_2d_og_gyro_up,-0.0010690648430081,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S002_seed42
tilt_tvcf_imu_2d_og_roll_cf,-0.0013596156655718,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S002_seed42
Robot_speed_anchor_geom,-0.00144025319142,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S002_seed42
tilt_tvcf_imu_2d_og_gyro_hy,-0.0025712123334133,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S002_seed42
Robot_L_Hip_angle,0.0209685530039283,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S003_seed42
Robot_R_Hip_angle,0.0181615454548817,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S003_seed42
Robot_R_Hip_angle_Linvel,0.0174450638418521,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S003_seed42
Robot_L_Hip_angle_Linvel,0.0118129156723343,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S003_seed42
tilt_tvcf_imu_2d_og_acc_up,0.0053736560714354,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S003_seed42
tilt_tvcf_imu_2d_og_gyro_up,0.0028616429523407,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S003_seed42
tilt_tvcf_imu_2d_og_gyro_hy,0.001773639054972,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S003_seed42
tilt_tvcf_imu_2d_og_pitch_cf,0.001615876949219,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S003_seed42
tilt_tvcf_imu_2d_og_roll_cf,0.0012469279871539,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S003_seed42
tilt_tvcf_summary_2d_og_acc_h_mag,0.0009353869973714,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S003_seed42
Robot_cadence_mean,0.0007908968697965,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S003_seed42
Robot_speed_anchor_geom,0.0004712663096386,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S003_seed42
tilt_tvcf_imu_2d_og_acc_hy,0.000377673180259,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S003_seed42
tilt_tvcf_imu_2d_og_acc_hx,0.0002611528214697,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S003_seed42
tilt_tvcf_imu_2d_og_gyro_hx,0.0001643559638055,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S003_seed42
tilt_tvcf_velocity_2d_og_vel_hy,0.0001283286482569,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S003_seed42
tilt_tvcf_summary_2d_og_vel_h_mag,9.760852104405502e-05,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S003_seed42
tilt_tvcf_velocity_2d_og_vel_hx,-2.3916436724327403e-05,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S003_seed42
Robot_R_Hip_angle_Linvel,0.0301227419451503,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S004_seed42
