group,mae,rmse,r2,lag_ms,mae_delta,mae_pct_change
exp_WG_S1A2_raw_full_w200_base_gp1e3dv015,0.025978796,0.037465993,0.9897995,0.0,0.025978796,0.0
exp_WG_S1A2_raw_full_w200_base_gp1e3dv020,0.025978796,0.037465993,0.9897995,0.0,0.025978796,0.0
exp_WG_S1A2_raw_full_w200_base_fp1e4,0.025978796,0.037465993,0.9897995,0.0,0.025978796,0.0
exp_WG_S1A2_raw_full_w200_base_gp3e3dv020,0.025978796,0.037465993,0.9897995,0.0,0.025978796,0.0
exp_WG_S1A2_raw_full_w200_base_fp3e4,0.025978796,0.037465993,0.9897995,0.0,0.025978796,0.0
exp_WG_S1A2_raw_full_w200_base_sm1e3,0.025978796,0.037465993,0.9897995,0.0,0.025978796,0.0
exp_WG_S1A2_raw_full_w200_base_sm1e4,0.025978796,0.037465993,0.9897995,0.0,0.025978796,0.0
exp_WG_S1A2_raw_full_w200_base_ref,0.025978796,0.037465993,0.9897995,0.0,0.025978796,0.0
exp_WG_S1A2_raw_full_w200_base_sm3e4,0.025978796,0.037465993,0.9897995,0.0,0.025978796,0.0
exp_WG_S1A2_raw_full_w200_base_sm3e4_gp1e3dv020,0.025978796,0.037465993,0.9897995,0.0,0.025978796,0.0
exp_WG_S1A2_raw_full_w200_base_clamp20,0.025989758,0.03737179,0.9898507,0.0,0.025989758,0.0
exp_WG_S1A2_raw_full_w200_base_lpfstrong_sm3e4,0.026013147,0.037865806,0.98958063,0.0,0.026013147,0.0
exp_WG_S1A2_raw_full_w200_base_lpfstrong,0.026013147,0.037865806,0.98958063,0.0,0.026013147,0.0
exp_WG_S1A2_raw_full_w200_base_ema03,0.026326274,0.037626028,0.9897122,-4.0,0.026326274,0.0
exp_WG_S1A2_raw_full_w200_base_cw_lv47_x3,0.026513789,0.03838406,0.98929346,0.0,0.026513789,0.0
exp_WG_S1A2_raw_full_w200_base_cw_lv47_x2,0.02685561,0.038365945,0.9893035,0.0,0.02685561,0.0
exp_WG_S1A2_raw_full_w200_base_cw_lv47_x2_sm3e4,0.02685561,0.038365945,0.9893035,0.0,0.02685561,0.0
exp_WG_S1A2_raw_full_w200_base_cw_hardmix,0.027674483,0.0397286,0.9885302,0.0,0.027674483,0.0
exp_WG_S1A2_raw_full_w200_base_bfacc2,0.028311446,0.041395787,0.9875474,0.0,0.028311446,0.0
exp_WG_S1A2_raw_full_w200_base_noddot_sm3e4,0.028622169,0.041912965,0.9872343,0.0,0.028622169,0.0
exp_WG_S1A2_raw_full_w200_base_noddot,0.028622169,0.041912965,0.9872343,0.0,0.028622169,0.0
exp_WG_S1A2_raw_full_w200_base_csm21,0.02927486,0.043329187,0.98635703,-0.5,0.02927486,0.0
exp_WG_S1A2_raw_full_w200_base_twarp005,0.032066558,0.046621792,0.98420477,0.0,0.032066558,0.0
exp_WG_S1A2_raw_full_w200_base_csm11,0.038420964,0.058869507,0.9748158,0.0,0.038420964,0.0
exp_WG_S1A2_raw_full_w200_base_deltavf_prior1e3,0.05728288,0.080317676,0.9531219,-9.5,0.05728288,0.0
exp_WG_S1A2_raw_full_w200_base_resvf_gp1e3dv020,0.18761995,0.272922,0.4587165,-122.0,0.18761995,0.0
exp_WG_S1A2_raw_full_w200_base_resvf,0.18761995,0.272922,0.4587165,-122.0,0.18761995,0.0
