group,mae,rmse,r2,lag_ms,mae_delta,mae_pct_change
exp_WG_S1A2_raw_full_w200_cmp_clamp07,0.02599663846194744,0.03740847110748291,0.9898293614387512,-0.5,0.02599663846194744,0.0
exp_WG_S1A2_raw_full_w200_cmp_ab074,0.026055004291176007,0.03750961688105722,0.9897742866775383,-0.5,0.026055004291176007,0.0
exp_WG_S1A2_raw_full_w200_cmp_ab067,0.0260813126312619,0.037552755016370586,0.9897507528802428,-0.5,0.0260813126312619,0.0
exp_WG_S1A2_raw_full_w200_cmp_ab055,0.02611243158536402,0.0375985670994676,0.9897257307072866,-0.5,0.02611243158536402,0.0
exp_WG_S1A2_raw_full_w200_cmp_aema074,0.026113128289580345,0.03752773255109787,0.989764392375946,-1.0,0.026113128289580345,0.0
exp_WG_S1A2_raw_full_w200_cmp_aema055,0.02612432837486267,0.03754120692610741,0.9897570610046387,-1.0,0.02612432837486267,0.0
exp_WG_S1A2_raw_full_w200_cmp_aema067,0.026133736595511436,0.03755148872733116,0.9897514581680298,-1.0,0.026133736595511436,0.0
exp_WG_S1A2_raw_full_w200_cmp_oe055,0.028088852763175964,0.040180694311857224,0.9882660508155823,-28.0,0.028088852763175964,0.0
exp_WG_S1A2_raw_full_w200_cmp_oe067,0.028590604662895203,0.04091869294643402,0.9878310561180115,-33.5,0.028590604662895203,0.0
exp_WG_S1A2_raw_full_w200_cmp_oe074,0.02889794483780861,0.04138324409723282,0.9875531792640686,-37.0,0.02889794483780861,0.0
